state_name,n,p_hat,se,ci_lo,ci_hi,p_trump_true,p_harris_true,N_state
Alabama,586,0.3873720136518771,0.020123973133922245,0.34792902630938954,0.4268150009943647,0.6457209205815222,0.3410072005968858,2265090
Alaska,90,0.4777777777777778,0.05265254798514357,0.3745787837268964,0.5809767718286591,0.5454480937497228,0.4140612756041954,338177
Arizona,1109,0.478809738503156,0.015000780647485997,0.44940820843408347,0.5082112685722285,0.5223002024890546,0.4670141701031977,3389319
Arkansas,321,0.4517133956386293,0.027776836751785713,0.3972707956051293,0.5061559956721293,0.6419687217800987,0.3355990989924544,1182676
California,3336,0.6393884892086331,0.008313601022016741,0.6230938312054803,0.6556831472117859,0.383329021034668,0.58467704244594,15865475
Colorado,764,0.6086387434554974,0.01765720799010345,0.5740306157948947,0.6432468711161001,0.4314284416700989,0.5412768636392822,3192745
Connecticut,413,0.6246973365617433,0.023825971863508436,0.5779984317092668,0.6713962414142198,0.4189390623134604,0.5639837181141665,1759010
Delaware,154,0.6038961038961039,0.039411712906883535,0.5266491465986122,0.6811430611935957,0.4179090800974044,0.5649262155570243,512913
District Of Columbia,107,0.9252336448598131,0.0254265199840158,0.8753976656911421,0.9750696240284841,0.0646762963031156,0.9027707452994916,325869
Florida,3138,0.5082855321861058,0.008924500081626135,0.4907935120261186,0.525777552346093,0.5608834311631108,0.4298829273881028,10893752
Georgia,1381,0.5481535119478639,0.01339213185860948,0.5219049335049893,0.5744020903907384,0.5071729539955493,0.4852529230675474,5250905
Hawaii,138,0.6521739130434783,0.04054368731479625,0.5727082859064776,0.7316395401804789,0.3748028356825321,0.6058513531036325,516701
Idaho,231,0.3852813852813853,0.03201999101190973,0.32252220289804223,0.44804056766472833,0.6687379910878541,0.3038173286323403,905057
Illinois,1628,0.6038083538083538,0.012122020535664668,0.5800491935584511,0.6275675140582566,0.4347495522170801,0.543705743159883,5633310
Indiana,924,0.48593073593073594,0.016442279198680083,0.45370386870132295,0.5181576031601489,0.5858141702339072,0.3962311823874399,2936677
Iowa,476,0.5630252100840336,0.02273466899136145,0.5184652588609652,0.607585161307102,0.5572682034209675,0.425173098263547,1663506
Kansas,363,0.5674931129476584,0.026003002565800164,0.51652722791869,0.6184589979766267,0.5715630792917397,0.4104072715166041,1327591
Kentucky,604,0.48013245033112584,0.02032864421482257,0.4402883076700736,0.519976592992178,0.6447214549801642,0.3393747017396711,2074530
Louisiana,446,0.45739910313901344,0.023589594669083617,0.41116349758760956,0.5036347086904174,0.6021524931800346,0.3821024178178602,2006975
Maine,233,0.5107296137339056,0.03274854617151973,0.4465424632377269,0.5749167642300843,0.4546408058938505,0.52401383250639,831375
Maryland,742,0.6657681940700808,0.017317430643428357,0.6318260300089612,0.6997103581312004,0.3408282302077388,0.6261908664419382,3038334
Massachusetts,849,0.6560659599528857,0.016302623089681664,0.6241128186971097,0.6880191012086618,0.3602252719603601,0.6121822810930694,3473668
Michigan,1485,0.5824915824915825,0.012797178214271872,0.5574091131916097,0.6075740517915553,0.4972710995013228,0.4831290850971348,5664186
Minnesota,803,0.5927770859277709,0.01733820105573254,0.5587942118585352,0.6267599599970066,0.4668313910606284,0.5092254880267493,3253920
Mississippi,290,0.42758620689655175,0.029051455098483628,0.37064535490352385,0.48452705888957964,0.6089080852893467,0.3800203256004847,1228008
Missouri,1005,0.490547263681592,0.01576918860404507,0.45963965401766366,0.5214548733455203,0.5849064225708912,0.4008240168769553,2995327
Montana,187,0.43315508021390375,0.036235397700557885,0.3621337007208103,0.5041764597069972,0.583914767572803,0.3846106643359542,602963
Nebraska,261,0.5057471264367817,0.03094717848958704,0.44509065659719105,0.5664035962763723,0.5931807154514578,0.3885759235104213,952182
Nevada,528,0.5965909090909091,0.021349818867702285,0.5547452641102126,0.6384365540716055,0.5126926765014008,0.4812925065604706,1465215
New Hampshire,236,0.614406779661017,0.03168375838857197,0.5523066132194159,0.6765069461026181,0.478731864016587,0.5065281672837572,826189
New Jersey,1171,0.5456874466268147,0.014550264984505214,0.5171689272571844,0.5742059659964449,0.4606463088544196,0.5197416168838388,4272725
New Mexico,291,0.5567010309278351,0.02912144219478484,0.49962300422605677,0.6137790576296134,0.4585116141056505,0.5185189998299767,923403
New York,2363,0.6187050359712231,0.009991725616827984,0.5991212537622402,0.6382888181802059,0.4331444097499576,0.5590486045554668,8262600
North Carolina,1357,0.5342667649226235,0.013541219281072228,0.5077259751317219,0.5608075547135251,0.5085719058363357,0.4764533813078146,5699141
North Dakota,84,0.5357142857142857,0.05441512501964679,0.429060640675778,0.6423679307527934,0.669568524127066,0.3051079029213239,368155
Ohio,1848,0.5524891774891775,0.011566785329583384,0.529818278243194,0.5751600767351609,0.5513579902728741,0.4392843495634722,5767788
Oklahoma,463,0.43412526997840173,0.023034415042240363,0.38897781649561064,0.4792727234611928,0.6616210342024795,0.3189934956099997,1566173
Oregon,793,0.6506935687263556,0.016929921888872462,0.6175109218241657,0.6838762156285456,0.4096604444745428,0.5527306166693324,2244493
Pennsylvania,2333,0.5190741534504929,0.010344187686324356,0.49879954558529715,0.5393487613156887,0.5037253671558666,0.4866280572391539,7034206
Rhode Island,155,0.6451612903225806,0.03843118691492068,0.5698361639693361,0.7204864166758251,0.4178753659230616,0.5557664796934627,513086
South Carolina,670,0.43582089552238806,0.019156895120800002,0.39827338108562005,0.4733684099591561,0.5822862951015251,0.4036089068889464,2548140
South Dakota,127,0.4566929133858268,0.0442010881193772,0.3700587806718475,0.5433270460998061,0.6343367791812964,0.3423909242239847,428922
Tennessee,1002,0.41916167664670656,0.015587790320096745,0.38860960761931695,0.44971374567409617,0.6419393709149847,0.3447405336001791,3063942
Texas,3019,0.49420337860218616,0.009099326751307051,0.47636869816962435,0.512038059034748,0.561399597529967,0.4245665474312461,11388674
Utah,351,0.5242165242165242,0.026656705402044133,0.4719693816285177,0.5764636668045307,0.5937665855556018,0.3779430753499846,1488494
Vermont,99,0.696969696969697,0.046188342846498774,0.6064405449905594,0.7874988489488346,0.322959777110552,0.6378073521058184,369690
Virginia,1169,0.553464499572284,0.0145400407972679,0.524966019609639,0.5819629795349291,0.4605739184347081,0.5182386736091495,4503288
Washington,1055,0.6274881516587678,0.014884922591536993,0.5983137033793553,0.6566625999381803,0.3901193172797912,0.5723012056083173,3924243
West Virginia,296,0.36824324324324326,0.02803473696178889,0.313295158798137,0.4231913276883495,0.6996684955362295,0.2810300242333959,762584
Wisconsin,1028,0.5739299610894941,0.015423160891355822,0.5437005657424367,0.6041593564365515,0.495958711251628,0.4873704248830968,3422918
Wyoming,64,0.28125,0.056201150663820934,0.17109574469891098,0.391404255301089,0.7159800481698433,0.2584185721506943,269048
