caseid,state,X_trump,X_harris,selfvoted_2024,validated_voter
1853651564,42,0.0,0.0,0.0,1
1853655732,36,0.0,0.0,0.0,1
1852716424,42,0.0,0.0,0.0,1
1853644254,6,0.0,0.0,,1
1853644132,30,0.0,0.0,0.0,1
1853656212,51,0.0,0.0,0.0,1
1853838260,48,0.0,0.0,0.0,0
1853838902,26,0.0,0.0,0.0,1
1853845114,45,0.0,0.0,,0
1853847090,41,0.0,0.0,0.0,1
1853842302,34,0.0,0.0,,0
1853842346,26,0.0,0.0,0.0,1
1853838800,47,0.0,0.0,,0
1853838438,45,0.0,0.0,0.0,0
1853843016,6,0.0,0.0,0.0,1
1853843336,9,0.0,0.0,0.0,1
1853843040,17,0.0,0.0,0.0,1
1853838562,36,0.0,0.0,0.0,0
1853842874,28,0.0,0.0,,0
1853840102,20,0.0,0.0,0.0,1
1853843180,12,0.0,0.0,0.0,1
1852847580,21,0.0,0.0,0.0,1
1853843920,37,0.0,0.0,0.0,1
1853852538,19,0.0,0.0,0.0,1
1853842654,34,0.0,0.0,0.0,1
1852761258,22,0.0,0.0,0.0,1
1854039704,6,0.0,0.0,0.0,1
1853708950,39,0.0,0.0,0.0,1
1850809946,17,0.0,0.0,0.0,1
1854046792,13,0.0,0.0,0.0,1
1854047448,55,0.0,0.0,0.0,1
1854044678,47,0.0,0.0,0.0,1
1854048136,19,0.0,0.0,0.0,1
1854030044,32,0.0,0.0,,0
1852713680,8,0.0,0.0,0.0,1
1854047118,25,0.0,0.0,0.0,1
1854065536,32,0.0,0.0,0.0,0
1854048194,39,0.0,0.0,0.0,1
1854047964,13,0.0,0.0,0.0,1
1854047850,36,0.0,0.0,0.0,1
1854048292,47,0.0,0.0,0.0,1
1854067818,42,0.0,0.0,,0
1854047310,12,0.0,0.0,,0
1854066006,50,0.0,0.0,0.0,0
1854065604,5,0.0,0.0,0.0,1
1854065720,45,0.0,0.0,,0
1854079996,8,0.0,0.0,,0
1850894632,26,0.0,0.0,0.0,1
1854069640,42,0.0,0.0,0.0,1
1854081932,4,0.0,0.0,0.0,1
1854065960,4,0.0,0.0,,0
1854086042,41,0.0,0.0,0.0,0
1854086110,39,0.0,0.0,0.0,1
1854082492,47,0.0,0.0,0.0,0
1854082148,11,0.0,0.0,0.0,1
1854092130,21,0.0,0.0,0.0,1
1854069814,1,0.0,0.0,0.0,1
1853814032,32,0.0,0.0,0.0,1
1854052198,48,0.0,0.0,0.0,1
1852897972,6,0.0,0.0,,0
1854098608,51,0.0,0.0,,0
1854082012,39,0.0,0.0,0.0,1
1850891770,28,0.0,0.0,0.0,1
1854086266,39,0.0,0.0,0.0,1
1854102986,22,0.0,0.0,,1
1854082102,40,0.0,0.0,0.0,0
1854065108,28,0.0,0.0,,0
1854098590,39,0.0,0.0,0.0,1
1854082430,48,0.0,0.0,0.0,1
1852649164,26,0.0,0.0,,0
1854102482,30,0.0,0.0,0.0,1
1854082200,18,0.0,0.0,,0
1854065264,6,0.0,0.0,0.0,1
