end_date,poll_margin,true_margin,n_polls_combined,n_questions_combined,filtered,filtered_se,smoothed,smoothed_se,total_error,sampling_noise,systematic_bias,weight,sigma2_u
2024-07-21,5.440227182936722,1.4723355621959089,13000.0,11.0,5.440227182936722,1.077178209816944,2.6696711283089,0.7123512175133186,3.9678916207408133,2.770556054627822,1.1973355661129912,0.0,0.4480940418892117
2024-07-22,1.3277490835116728,1.4723355621959089,8591.0,5.0,2.945097313408087,0.7953310513661537,1.5997272662740816,0.5949085996794987,-0.14458647868423613,-0.2719781827624088,0.12739170407817269,0.6067217403242755,0.4480940418892117
2024-07-23,0.014790464755278204,1.4723355621959089,10108.0,8.0,1.2964726937423405,0.687504049562222,0.6466786684757475,0.5171270321425262,-1.4575450974406308,-0.6318882037204693,-0.8256568937201614,0.5626115983122013,0.4480940418892117
2024-07-24,-0.16590085408599345,1.4723355621959089,38312.0,11.0,0.12524808683014016,0.4281546763058264,0.030659307512977338,0.37670586467807493,-1.6382364162819023,-0.19656016159897077,-1.4416762546829316,0.8009065868645545,0.4480940418892117
2024-07-25,0.027610326578655503,1.4723355621959089,39450.0,14.0,0.05400346751514813,0.4131355081559633,-0.20055111466047548,0.374358644697237,-1.4447252356172533,0.22816144123913099,-1.6728866768563844,0.7296830563450855,0.4480940418892117
2024-07-26,-1.659758438026179,1.4723355621959089,14913.0,3.0,-0.7985653355979155,0.5576239325093554,-0.86884123654416,0.4662962971532651,-3.1320940002220876,-0.7909172014820189,-2.3411767987400687,0.4974838105318733,0.4480940418892117
2024-07-27,-1.7707139706168782,1.4723355621959089,17884.0,6.0,-1.3768336206492344,0.5545589545352277,-0.9701140281683628,0.44923695898642285,-3.243049532812787,-0.8005999424485154,-2.4424495903642716,0.5948352589519803,0.4480940418892117
2024-07-28,0.10164485035174868,1.4723355621959089,53958.0,15.0,-0.17307577783289743,0.37470771569371586,-0.37750424273591443,0.34260545601329423,-1.3706907118441602,0.4791490930876631,-1.8498398049318232,0.8141869269163924,0.4480940418892117
2024-07-29,-0.9926903432460358,1.4723355621959089,22174.0,9.0,-0.6528120609528605,0.4940035563212367,-1.0299212369828052,0.42889983366855644,-2.4650259054419448,0.037230893736769466,-2.5022567991787144,0.5853193725005914,0.4480940418892117
2024-07-30,-1.7855259374605388,1.4723355621959089,18676.0,5.0,-1.314678420777057,0.5363829742319983,-1.7223516241272376,0.45697728592748005,-3.257861499656448,-0.06317431333330115,-3.1946871863231463,0.5843191061319271,0.4480940418892117
2024-07-31,-3.124498916124006,1.4723355621959089,16998.0,3.0,-2.360113618824505,0.5574661744085433,-2.3572896933644527,0.4689188154100666,-4.596834478319915,-0.7672092227595533,-3.8296252555603614,0.5776457945609873,0.4480940418892117
2024-08-01,-2.5108924314278105,1.4723355621959089,17713.0,7.0,-2.449226131003643,0.5571028189938506,-2.353217903500314,0.4657670437172329,-3.9832279936237196,-0.15767452792749648,-3.825553465696223,0.5910148159449309,0.4480940418892117
2024-08-02,-1.8054008855056427,1.4723355621959089,22086.0,6.0,-2.0365433552275065,0.5218209670308005,-2.214603963211416,0.44779909899823805,-3.2777364477015514,0.40920307770577313,-3.6869395254073245,0.6409857001754031,0.4480940418892117
