state_name,n,sum_w,sum_wx,p_hat,num_for_var,var_delta,se,ci_lo,ci_hi,p_trump_true,N_state
Alabama,593,570.49,338.28,0.5929639432768321,133.68325191118922,0.0004107531750254929,0.0202670465294155,0.5532405320791778,0.6326873544744864,0.6457209205815222,2265090
Alaska,90,87.7,38.839999999999996,0.4428734321550741,21.102566696197908,0.002743696661574054,0.05238030795608264,0.3402080285611521,0.5455388357489961,0.5454480937497228,338177
Arizona,1119,1087.25,549.6899999999999,0.5055782938606576,265.6022971039487,0.0002246844382926086,0.01498947758571354,0.476198917792659,0.5349576699286561,0.5223002024890546,3389319
Arkansas,324,313.05,164.73,0.5262098706276952,75.89138614429481,0.0007743995090657482,0.0278280345886257,0.4716669228339888,0.5807528184214016,0.6419687217800987,1182676
California,3365,3253.69,1058.08,0.3251938568210247,695.0720601141473,6.56564635125988e-05,0.00810286761045735,0.3093122363045283,0.3410754773375211,0.383329021034668,15865475
Colorado,770,747.8199999999999,269.82,0.3608087507689016,168.127445769445,0.0003006384081960444,0.017338927538808287,0.3268244527928374,0.39479304874496585,0.4314284416700989,3192745
Connecticut,419,399.49,141.49,0.354176575133295,87.99021580657467,0.0005513438794051809,0.023480712923699333,0.30815437780284427,0.4001987724637457,0.4189390623134604,1759010
Delaware,156,148.07999999999998,53.64,0.3622366288492707,32.70590074680382,0.0014915344989065436,0.03862038967833628,0.28654066507973164,0.4379325926188098,0.4179090800974044,512913
District Of Columbia,108,104.88,6.58,0.06273836765827613,5.870211388148512,0.0005336645851177737,0.023101181465842256,0.01746005198522531,0.10801668333132695,0.0646762963031156,325869
Florida,3161,3062.31,1456.33,0.4755658310229859,743.8601292079026,7.9321875850652e-05,0.00890628294243182,0.45810951645581954,0.4930221455901522,0.5608834311631108,10893752
Georgia,1393,1345.37,578.67,0.43011959535295125,320.584385875783,0.000177116445394862,0.013308510262041428,0.40403491523935003,0.45620427546655246,0.5071729539955493,5250905
Hawaii,141,135.44,37.8,0.27909037212049614,26.47252716285291,0.001443116899193255,0.03798837847543976,0.20463315030863422,0.3535475939323581,0.3748028356825321,516701
Idaho,232,224.17,132.19,0.5896863987152607,52.93199101790211,0.0010533270724432486,0.03245500073090815,0.5260745972826808,0.6532982001478407,0.6687379910878541,905057
Illinois,1648,1585.22,589.66,0.3719736061871538,358.8906974335631,0.0001428180553928642,0.011950650835534616,0.34855033054950596,0.39539688182480165,0.4347495522170801,5633310
Indiana,935,898.97,434.99,0.4838759914123942,217.92777702769183,0.0002696635149362477,0.01642143461870027,0.45168997955974166,0.5160620032650467,0.5858141702339072,2936677
Iowa,483,464.49,199.4,0.42928803634093304,110.25378594532613,0.0005110233849908421,0.022605826350541626,0.38498061669387146,0.47359545598799463,0.5572682034209675,1663506
Kansas,366,350.87,141.97,0.40462279476729274,81.62302015602145,0.0006630101643553928,0.025748983753837603,0.35415478660977107,0.4550908029248144,0.5715630792917397,1327591
Kentucky,614,588.23,300.75,0.5112796015164136,142.24626507717994,0.0004110991058236558,0.020275579050267733,0.47153946657788887,0.5510197364549384,0.6447214549801642,2074530
Louisiana,455,437.09,230.06,0.5263446887368735,105.65745943431256,0.000553042392430607,0.023516853370096243,0.4802516561314848,0.5724377213422621,0.6021524931800346,2006975
Maine,236,229.17,108.82,0.4748440022690579,55.89524208817753,0.0010642883590817464,0.03262343266858572,0.41090207423862984,0.5387859302994858,0.4546408058938505,831375
Maryland,755,723.85,227.62,0.3144574152103336,150.54192718628053,0.00028731633235602315,0.01695040802918983,0.28123461547312156,0.34768021494754564,0.3408282302077388,3038334
Massachusetts,852,827.73,261.6,0.3160450871661049,174.25619076313757,0.00025433774959233784,0.015947970077484403,0.28478706581423546,0.34730310851797436,0.3602252719603601,3473668
Michigan,1498,1446.86,574.52,0.39708057448543743,336.5893574254145,0.00016078567729865982,0.012680129230361173,0.37222752119392954,0.4219336277769453,0.4972710995013228,5664186
Minnesota,811,786.05,295.24,0.37559951657019275,179.6891267809345,0.0002908181143129839,0.017053390112027108,0.34217487195061963,0.40902416118976587,0.4668313910606284,3253920
Mississippi,290,281.18,155.94,0.554591364961946,67.58733196239369,0.0008548628606255762,0.029238037906562337,0.4972848106650839,0.6118979192588082,0.6089080852893467,1228008
Missouri,1017,977.25,480.71,0.49190074187771804,236.64130704747734,0.00024778738772929877,0.015741263854255755,0.4610478647233768,0.5227536190320593,0.5849064225708912,2995327
Montana,190,183.47,96.56,0.526298577424102,44.62110309867275,0.0013255929343553331,0.03640869311517969,0.4549375389183498,0.5976596159298542,0.583914767572803,602963
