state_name,n,p_hat_trump,p_trump_true,p_harris_true,N_state,bias_trump,abs_bias_trump,f_s,bias_harris,p_hat_harris,DO_s,sigma_trump,rho_hat_trump,sigma_harris,rho_hat_harris
Alabama,427,0.5644028103044496,0.6457209205815222,0.3410072005968858,2265090,-0.08131811027707259,0.08131811027707259,0.00018851348070054612,0.07819654647571378,0.41920374707259955,5303.660421545667,0.4782942747983439,-0.0023345557014921477,0.4740477715778876,0.002265049037798387
Alaska,73,0.4246575342465753,0.5454480937497228,0.4140612756041954,338177,-0.12079055950314749,0.12079055950314749,0.00021586329052537576,0.09278803946429776,0.5068493150684932,4631.561643835616,0.497930186647201,-0.003564518004885943,0.4925591696935729,0.0027680240916018476
Arizona,861,0.5005807200929152,0.5223002024890546,0.4670141701031977,3389319,-0.02171948239613941,0.02171948239613941,0.0002540333323596864,0.018467827573921958,0.48548199767711964,3935.4912891986064,0.49950245341634425,-0.0006931262836530308,0.4989107485573138,0.0005900563287767083
Arkansas,239,0.49372384937238495,0.6419687217800987,0.3355990989924544,1182676,-0.14824487240771372,0.14824487240771372,0.00020208408727326842,0.1455724491247004,0.4811715481171548,4947.435146443515,0.4794214033980178,-0.0043961470069244805,0.4721994745315873,0.0043829209138429425
California,2503,0.3148222133439872,0.383329021034668,0.58467704244594,15865475,-0.0685068076906808,0.0685068076906808,0.00015776394970840773,0.06614197473344474,0.6508190171793847,6337.583699560527,0.4861973700744082,-0.001769942962539107,0.4927776359399932,0.001686026177688952
Colorado,611,0.36006546644844517,0.4314284416700989,0.5412768636392822,3192745,-0.07136297522165375,0.07136297522165375,0.00019137137478877895,0.06756110690081607,0.6088379705400983,5224.441898527005,0.495275621637295,-0.001993453201052275,0.49829330772959823,0.0018758225396426716
Connecticut,301,0.3289036544850498,0.4189390623134604,0.5639837181141665,1759010,-0.09003540782841057,0.09003540782841057,0.00017111898169993347,0.07721229517487005,0.6411960132890365,5842.887043189369,0.493385371065437,-0.0023873347651236954,0.49588918501645796,0.0020369861695560144
Delaware,116,0.33620689655172414,0.4179090800974044,0.5649262155570243,512913,-0.08170218354568026,0.08170218354568026,0.00022615921218608224,0.06438412927056192,0.6293103448275862,4420.663793103448,0.49321504525870424,-0.002491458193742542,0.4957666654117064,0.0019532496775451617
District Of Columbia,72,0.06944444444444445,0.0646762963031156,0.9027707452994916,325869,0.004768148141328851,0.004768148141328851,0.000220947681430268,0.01389592136717499,0.9166666666666666,4524.958333333334,0.2459538025720017,0.0002881966354922989,0.29626968581157953,0.0006972569289427239
Florida,2435,0.47433264887063653,0.5608834311631108,0.4298829273881028,10893752,-0.08655078229247426,0.08655078229247426,0.00022352262104002367,0.08182138472688688,0.5117043121149897,4472.820123203286,0.496279364682642,-0.0026076786029576473,0.4950591844702388,0.0024712631113349604
Georgia,1011,0.42433234421364985,0.5071729539955493,0.4852529230675474,5250905,-0.08284060978189944,0.08284060978189944,0.00019253823864648093,0.06568674063176017,0.5509396636993076,5192.773491592483,0.4999485460834722,-0.0022994199114581017,0.4997824764054341,0.0018238830973453478
Hawaii,100,0.24,0.3748028356825321,0.6058513531036325,516701,-0.1348028356825321,0.1348028356825321,0.00019353552634889423,0.09414864689636748,0.7,5166.01,0.48407196783832146,-0.003874462599633496,0.48866705541312083,0.002680546839235766
Idaho,175,0.5771428571428572,0.6687379910878541,0.3038173286323403,905057,-0.09159513394499696,0.09159513394499696,0.00019335798739747884,0.1018969570819454,0.4057142857142857,5170.754285714285,0.47066706955515303,-0.002706335522836633,0.45990472867219884,0.003081175172570216
Illinois,1218,0.36288998357963875,0.4347495522170801,0.543705743159883,5633310,-0.07185956863744136,0.07185956863744136,0.00021621391331206696,0.06959474945095445,0.6133004926108374,4624.049261083744,0.49572409570660214,-0.002131735662044855,0.49808614517454947,0.002054758511495146
Indiana,734,0.45776566757493187,0.5858141702339072,0.3962311823874399,2936677,-0.12804850265897538,0.12804850265897538,0.00024994236683162634,0.11875519363435855,0.5149863760217984,3999.922343324251,0.492580884918473,-0.00411027774800009,0.4891135169787186,0.0038389916475840406
Iowa,408,0.4117647058823529,0.5572682034209675,0.425173098263547,1663506,-0.14550349753861458,0.14550349753861458,0.0002452651207750378,0.15570925467762953,0.5808823529411765,4076.2205882352937,0.496709525655523,-0.00458819751053667,0.4943692291966837,0.004933261710485245
