state_name,n,p_hat_trump,p_trump_true,p_harris_true,N_state,bias_trump,abs_bias_trump,f_s,bias_harris,p_hat_harris,DO_s,sigma_trump,rho_hat_trump,sigma_harris,rho_hat_harris,O_trump,O_harris,rho_lb_trump,rho_ub_trump,rho_lb_harris,rho_ub_harris,Z_nN_trump,Z_nN_harris,log10_N,log10_absZ_nN_trump,log10_absZ_nN_harris,color,Z_n_s_trump,Z_n_s_harris,cover_rate_H,cover_rate_T
Alabama,427,0.5644028103044496,0.6457209205815222,0.3410072005968858,2265090,-0.08131811027707259,0.08131811027707259,0.00018851348070054612,0.07819654647571378,0.41920374707259955,5303.660421545667,0.4782942747983439,-0.0023345557014921477,0.4740477715778876,0.002265049037798387,1.822633505883057,0.5174672635357391,-0.01853795484892593,0.010170972271216081,-0.009877648904024022,0.019088451772837255,-3.5135559687886975,3.408946962057477,6.355085462740391,0.5457468759727088,0.5326202443309869,red,-3.388941692811763,3.2747415459939777,False,False
Alaska,73,0.4246575342465753,0.5454480937497228,0.4140612756041954,338177,-0.12079055950314749,0.12079055950314749,0.00021586329052537576,0.09278803946429776,0.5068493150684932,4631.561643835616,0.497930186647201,-0.003564518004885943,0.4925591696935729,0.0027680240916018476,1.1999687741918696,0.7066631003628546,-0.01609612174079664,0.01341378383086404,-0.012352147894156172,0.017479542780447485,-2.0728706587757975,1.609686334702522,5.5291440671506855,0.31657220420075455,0.20674125716272454,red,-2.0879100800745523,1.5857115017258372,True,False
Arizona,861,0.5005807200929152,0.5223002024890546,0.4670141701031977,3389319,-0.02171948239613941,0.02171948239613941,0.0002540333323596864,0.018467827573921958,0.48548199767711964,3935.4912891986064,0.49950245341634425,-0.0006931262836530308,0.4989107485573138,0.0005900563287767083,1.093364923348303,0.8762224883044674,-0.016667984609375963,0.015244667405583308,-0.014921336339901356,0.017029163869983363,-1.2760524533335575,1.086299630670799,6.530112446211202,0.10586852683429276,0.0359496318816421,purple,-1.2746217810592837,1.0842527548270893,True,True
Arkansas,239,0.49372384937238495,0.6419687217800987,0.3355990989924544,1182676,-0.14824487240771372,0.14824487240771372,0.00020208408727326842,0.1455724491247004,0.4811715481171548,4947.435146443515,0.4794214033980178,-0.0043961470069244805,0.4721994745315873,0.0043829209138429425,1.7930520622999986,0.5051153580368836,-0.01903734563601585,0.010617285485618362,-0.01010427672602299,0.020003899238567945,-4.780847767699189,4.766464277455425,6.072865783778671,0.6795049150614456,0.6781963425250421,red,-4.583981362787101,4.504185595227122,False,False
California,2503,0.3148222133439872,0.383329021034668,0.58467704244594,15865475,-0.0685068076906808,0.0685068076906808,0.00015776394970840773,0.06614197473344474,0.6508190171793847,6337.583699560527,0.4861973700744082,-0.001769942962539107,0.4927776359399932,0.001686026177688952,0.6216102818359124,1.4077648052235017,-0.009903694625222049,0.015932321125660443,-0.014904012210556943,0.010587004416686443,-7.0499461066681715,6.715693069615635,7.200453079070582,0.8481857970387624,0.8270908391607245,blue,-7.3795492249171515,6.9414815392642915,False,False
Colorado,611,0.36006546644844517,0.4314284416700989,0.5412768636392822,3192745,-0.07136297522165375,0.07136297522165375,0.00019137137478877895,0.06756110690081607,0.6088379705400983,5224.441898527005,0.495275621637295,-0.001993453201052275,0.49829330772959823,0.0018758225396426716,0.7587935684601587,1.1799641673483154,-0.012051521190098767,0.0158824767249349,-0.01502845923605485,0.012736369164351561,-3.561952249905958,3.3517668295285494,6.504164233442266,0.5516880931897311,0.5252737986899446,blue,-3.6748113100316564,3.422064186971764,False,False
Connecticut,301,0.3289036544850498,0.4189390623134604,0.5639837181141665,1759010,-0.09003540782841057,0.09003540782841057,0.00017111898169993347,0.07721229517487005,0.6411960132890365,5842.887043189369,0.493385371065437,-0.0023873347651236954,0.49588918501645796,0.0020369861695560144,0.7209898913209377,1.293492333990041,-0.011108382935692667,0.015407127158663507,-0.01487880953482184,0.011502820035218233,-3.1662656776045828,2.701606615311138,6.245268308435559,0.5005473531911202,0.4316221110673928,blue,-3.3248327019858386,2.792837539926805,False,False
Delaware,116,0.33620689655172414,0.4179090800974044,0.5649262155570243,512913,-0.08170218354568026,0.08170218354568026,0.00022615921218608224,0.06438412927056192,0.6293103448275862,4420.663793103448,0.49321504525870424,-0.002491458193742542,0.4957666654117064,0.0019532496775451617,0.7179446815066886,1.2984607111648854,-0.012743882190932424,0.01775050713404261,-0.01713841533425984,0.013199024958471394,-1.7843294114772228,1.3988759098409278,5.710043706585185,0.25147503410987077,0.1457791912169466,blue,-1.862700285967415,1.435721330275567,True,True
District Of Columbia,72,0.06944444444444445,0.0646762963031156,0.9027707452994916,325869,0.004768148141328851,0.004768148141328851,0.000220947681430268,0.01389592136717499,0.9166666666666666,4524.958333333334,0.2459538025720017,0.0002881966354922989,0.29626968581157953,0.0006972569289427239,0.06914856968499924,9.284970332028797,-0.0039091677603511335,0.05653287953979429,-0.04529841100668418,0.0048786812867269895,0.164516614563596,0.39802806592352463,5.513043047886764,-0.7837902360184225,-0.40008630369020015,blue,0.15915712340679722,0.4266173361460235,True,True
Florida,2435,0.47433264887063653,0.5608834311631108,0.4298829273881028,10893752,-0.08655078229247426,0.08655078229247426,0.00022352262104002367,0.08182138472688688,0.5117043121149897,4472.820123203286,0.496279364682642,-0.0026076786029576473,0.4950591844702388,0.0024712631113349604,1.277299630594108,0.7540257046130283,-0.016898792633150913,0.013230092789810648,-0.012983816201509594,0.01721932836251648,-8.606821292835583,8.156572647684644,7.037177484186841,0.9348427856145376,0.9115077086459703,red,-8.553098411040693,8.077283477267219,False,False
Georgia,1011,0.42433234421364985,0.5071729539955493,0.4852529230675474,5250905,-0.08284060978189944,0.08284060978189944,0.00019253823864648093,0.06568674063176017,0.5509396636993076,5192.773491592483,0.4999485460834722,-0.0022994199114581017,0.4997824764054341,0.0018238830973453478,1.029109417000156,0.9427016583743019,-0.0140776799210042,0.01367947828331073,-0.013473717767210912,0.014292663694308622,-5.26908648405171,4.179400956225847,6.720234161050531,0.7217353269155834,0.6211140377440716,purple,-5.329419197567529,4.1990294649768725,False,False
Hawaii,100,0.24,0.3748028356825321,0.6058513531036325,516701,-0.1348028356825321,0.1348028356825321,0.00019353552634889423,0.09414864689636748,0.7,5166.01,0.48407196783832146,-0.003874462599633496,0.48866705541312083,0.002680546839235766,0.5994954185240219,1.5371138728352083,-0.010772470487998212,0.01796922904685477,-0.017249455867339853,0.011221976570625318,-2.7850352973095127,1.926826591143052,5.713239302060587,0.4448307037573617,0.2848426311585932,blue,-3.1563605815309512,2.054491909429872,False,False
Idaho,175,0.5771428571428572,0.6687379910878541,0.3038173286323403,905057,-0.09159513394499696,0.09159513394499696,0.00019335798739747884,0.1018969570819454,0.4057142857142857,5170.754285714285,0.47066706955515303,-0.002706335522836633,0.45990472867219884,0.003081175172570216,2.0187584845119093,0.43640461207614845,-0.019759012327426398,0.009787704908248936,-0.009186873060652351,0.021051273993065247,-2.574656906050087,2.931258474741177,5.956675931697944,0.410719363964874,0.46705411567638944,red,-2.452747989277725,2.7451902263807377,False,False
Illinois,1218,0.36288998357963875,0.4347495522170801,0.543705743159883,5633310,-0.07185956863744136,0.07185956863744136,0.00021621391331206696,0.06959474945095445,0.6133004926108374,4624.049261083744,0.49572409570660214,-0.002131735662044855,0.49808614517454947,0.002054758511495146,0.7691273026360208,1.1915682369642324,-0.012896975894679964,0.016768324112898234,-0.01605270530205554,0.013471914409998995,-5.059587810326562,4.876885677257501,6.750763651037402,0.7041151375923187,0.6881425750875357,blue,-5.215711284220205,4.987428166570627,False,False
Indiana,734,0.45776566757493187,0.5858141702339072,0.3962311823874399,2936677,-0.12804850265897538,0.12804850265897538,0.00024994236683162634,0.11875519363435855,0.5149863760217984,3999.922343324251,0.492580884918473,-0.00411027774800009,0.4891135169787186,0.0038389916475840406,1.4143752106747347,0.6562630775703662,-0.018804272587148365,0.013295108995991022,-0.012808940418902516,0.01951799645094175,-7.04367301750507,6.578777284739944,6.467856181854162,0.8477991868765419,0.8181451842166584,red,-6.9631767546809185,6.43762690073101,False,False
Iowa,408,0.4117647058823529,0.5572682034209675,0.425173098263547,1663506,-0.14550349753861458,0.14550349753861458,0.0002452651207750378,0.15570925467762953,0.5808823529411765,4076.2205882352937,0.496709525655523,-0.00458819751053667,0.4943692291966837,0.004933261710485245,1.258703819619355,0.7396541410625918,-0.017572475073726473,0.013960770436877335,-0.013470555557756963,0.01821196530909038,-5.917716563170328,6.362769795230068,6.22102437163838,0.7721541602164784,0.8036462107625729,red,-5.971774716301883,6.374299164631326,False,False
Kansas,304,0.3881578947368421,0.5715630792917397,0.4104072715166041,1327591,-0.18340518455489757,0.18340518455489757,0.0002289861862576652,0.17840851795708007,0.5888157894736842,4366.075657894737,0.49485222610622276,-0.0056090647236841885,0.491907656987468,0.005488913340734127,1.3340658838338995,0.6960860466720664,-0.01748006368083882,0.013102848886745993,-0.012626582932008402,0.018139399564716344,-6.4628256154724415,6.324385880201557,6.123064299578999,0.810422437640173,0.8010183603951364,red,-6.561822946716764,6.321853667399647,False,False
Kentucky,429,0.5104895104895105,0.6447214549801642,0.3393747017396711,2074530,-0.13423194449065368,0.13423194449065368,0.00020679382799959509,0.14547378310881376,0.48484848484848486,4834.734265734266,0.4785976394304764,-0.00403365755201291,0.4734971104017219,0.004418563448698589,1.814692905095545,0.5137173865932328,-0.019373820260843826,0.010676087511249615,-0.010308033657158969,0.020065572873672242,-5.809767863875507,6.364156500081055,6.316919719589311,0.7641587799889554,0.8037408507806294,red,-5.561732729993412,6.028966447805504,False,False
Louisiana,320,0.509375,0.6021524931800346,0.3821024178178602,2006975,-0.09277749318003459,0.09277749318003459,0.00015944393926182438,0.08977258218213979,0.471875,6270.796875000001,0.4894536424801668,-0.002393699903962167,0.4859013892917014,0.0023331045993018793,1.5135258682229764,0.6183911846174316,-0.015535797699326143,0.010264639690345464,-0.009930480852232615,0.01605857440929744,-3.391099833429943,3.3052558530713316,6.302541962706883,0.5303405755255102,0.5192050829672965,red,-3.319892130609642,3.2168948005419242,False,False
Maine,183,0.44808743169398907,0.4546408058938505,0.52401383250639,831375,-0.006553374199861406,0.006553374199861406,0.0002201172755976545,0.0060408123023532045,0.5300546448087432,4542.0327868852455,0.4979382928737663,-0.0001952829416862486,0.49942300292272784,0.00017947405184084916,0.8336538758441808,1.1009013880921754,-0.013547768108135124,0.016251070738939808,-0.015568582672886199,0.014141668673763798,-0.17805842509537648,0.16364392476026435,5.919796960842207,-0.7494374722235645,-0.7861001131306093,blue,-0.17826824481002027,0.16373325044623138,True,True
Maryland,559,0.29695885509839,0.3408282302077388,0.6261908664419382,3038334,-0.043869375109348796,0.043869375109348796,0.00018398240614757956,0.05359446450618344,0.6797853309481217,5434.302325581395,0.4739877083861979,-0.0012555166335207171,0.4838138745702038,0.0015026911179822104,0.5170552590793613,1.6751620284972928,-0.009754310635440374,0.01886512217825293,-0.017557250768972996,0.01048092690157427,-2.1884677751845136,2.619313038122161,6.482635513563584,0.3401401560838904,0.41818740472722377,blue,-2.2700155951255057,2.715934763492072,False,False
Massachusetts,643,0.3157076205287714,0.3602252719603601,0.6121822810930694,3473668,-0.0445176514315887,0.0445176514315887,0.00018510692443837466,0.044116319217972655,0.656298600311042,5401.283048211508,0.48006564697074994,-0.0012617785696905444,0.48725264063805296,0.0012319599820809369,0.5630501740263189,1.5785309727944181,-0.01020998443997004,0.018133347454560578,-0.017095353497633504,0.010829913249893474,-2.3516746538936872,2.296099437781386,6.540788307876729,0.3713772384108445,0.3609906922383998,blue,-2.428702650995712,2.3553929325559757,False,False
Michigan,1159,0.39516824849007764,0.4972710995013228,0.4831290850971348,5664186,-0.10210285101124517,0.10210285101124517,0.000204618986735252,0.10013234717206276,0.5832614322691976,4886.132010353753,0.4999925530466112,-0.0029214047761142894,0.4997152911712231,0.002866613615850369,0.9891436498042173,0.9347190394490055,-0.014228105784693232,0.014384266418239072,-0.01383113901417845,0.014797108468370962,-6.952811411692535,6.8224109250986995,6.753137506236676,0.8421604497261822,0.8339378741344372,purple,-7.110027410049616,6.914370340159904,False,False
Minnesota,652,0.3512269938650307,0.4668313910606284,0.5092254880267493,3253920,-0.11560439719559767,0.11560439719559767,0.0002003737031027192,0.1150076408076065,0.6242331288343558,4989.674846625766,0.4988986303659563,-0.003280393321023118,0.499914883125786,0.0032568256172482804,0.8755792881154285,1.037595628141553,-0.013246819450026363,0.015129206035170652,-0.01442042113650231,0.013897920100464242,-5.91737766151083,5.874864770463108,6.512406871285029,0.772129287897277,0.7689978743280149,blue,-6.183833991891867,6.063422646973741,False,False
Mississippi,200,0.57,0.6089080852893467,0.3800203256004847,1228008,-0.03890808528934675,0.03890808528934675,0.0001628653884990977,0.029979674399515266,0.41,6139.040000000001,0.487994906693306,-0.0010175935333791902,0.4853914685395555,0.0007882873213744953,1.5569436809754638,0.6129561037118765,-0.015925248580207035,0.01022853220370147,-0.009992276785378071,0.01630178201157941,-1.1276511305644457,0.8735443573483566,6.089201196075946,0.052174759660149894,-0.058715037260888114,red,-1.1114327798198151,0.8620331663630116,True,True
Missouri,815,0.4822085889570552,0.5849064225708912,0.4008240168769553,2995327,-0.102697833613836,0.102697833613836,0.00027209049295786404,0.09856248619052937,0.49938650306748467,3674.2478527607364,0.4927381651609841,-0.003438435292862153,0.4900654286639464,0.0033179769046763844,1.4090953326561253,0.6689587502953092,-0.019583303908355686,0.01389778495074668,-0.01349321513934319,0.020170474088853255,-5.950903448068362,5.742425993485597,6.476444241264043,0.7745829040017641,0.7590954068574096,red,-5.8673932217444325,5.627568328233961,False,False
