state_name,n,p_hat,se,ci_lo,ci_hi,p_trump_true,p_harris_true,N_state,bias_trump,abs_bias_trump,f_s
New Hampshire,179,0.3687150837988827,0.036060491602667666,0.29803652025765404,0.4393936473401113,0.478731864016587,0.5065281672837572,826189,-0.11001678021770434,0.11001678021770434,0.0002166574476300217
New Jersey,904,0.41261061946902655,0.016373783011265724,0.38051800476694575,0.44470323417110735,0.4606463088544196,0.5197416168838388,4272725,-0.04803568938539304,0.04803568938539304,0.00021157458062477693
New Mexico,224,0.38392857142857145,0.03249501496585585,0.32023834209549396,0.44761880076164895,0.4585116141056505,0.5185189998299767,923403,-0.07458304267707905,0.07458304267707905,0.00024258097493727007
New York,1732,0.35161662817551964,0.011472992057310595,0.32912956374319086,0.3741036926078484,0.4331444097499576,0.5590486045554668,8262600,-0.08152778157443796,0.08152778157443796,0.00020961924817853943
North Carolina,1049,0.44518589132507147,0.015344639872668894,0.41511039717464043,0.4752613854755025,0.5085719058363357,0.4764533813078146,5699141,-0.06338601451126424,0.06338601451126424,0.00018406282631014043
North Dakota,65,0.4307692307692308,0.06142000433230403,0.3103860222779149,0.5511524392605467,0.669568524127066,0.3051079029213239,368155,-0.23879929335783523,0.23879929335783523,0.00017655607013350355
Ohio,1360,0.4198529411764706,0.013382837147595864,0.3936225803671827,0.4460833019857585,0.5513579902728741,0.4392843495634722,5767788,-0.13150504909640354,0.13150504909640354,0.0002357923002717853
Oklahoma,346,0.5289017341040463,0.026835222398422037,0.4763046982031391,0.5814987700049534,0.6616210342024795,0.3189934956099997,1566173,-0.13271930009843325,0.13271930009843325,0.00022092067734535073
Oregon,675,0.31555555555555553,0.01788772585233425,0.2804956128849804,0.35061549822613064,0.4096604444745428,0.5527306166693324,2244493,-0.09410488891898727,0.09410488891898727,0.0003007360682345634
Pennsylvania,1851,0.4467855213398163,0.011555616090974585,0.42413651380150613,0.4694345288781265,0.5037253671558666,0.4866280572391539,7034206,-0.05693984581605027,0.05693984581605027,0.0002631427058007684
Rhode Island,121,0.33884297520661155,0.04302876352599956,0.2545065986956524,0.4231793517175707,0.4178753659230616,0.5557664796934627,513086,-0.07903239071645007,0.07903239071645007,0.00023582791189001454
South Carolina,522,0.5574712643678161,0.02173935877319439,0.5148621211723551,0.6000804075632772,0.5822862951015251,0.4036089068889464,2548140,-0.024815030733708943,0.024815030733708943,0.00020485530622336293
South Dakota,104,0.4807692307692308,0.0489927562851027,0.3847434284504295,0.576795033088032,0.6343367791812964,0.3423909242239847,428922,-0.1535675484120656,0.1535675484120656,0.00024246832757471054
Tennessee,763,0.54521625163827,0.018027047197264574,0.5098832391316315,0.5805492641449086,0.6419393709149847,0.3447405336001791,3063942,-0.09672311927671462,0.09672311927671462,0.0002490256016595614
Texas,2257,0.4873726185201595,0.01052120986363577,0.4667510471874334,0.5079941898528856,0.561399597529967,0.4245665474312461,11388674,-0.07402697900980754,0.07402697900980754,0.00019817934906205938
Utah,137,0.48905109489051096,0.042707639744337805,0.4053441209916089,0.572758068789413,0.5937665855556018,0.3779430753499846,1488494,-0.10471549066509084,0.10471549066509084,9.203933640310274e-05
Vermont,77,0.19480519480519481,0.04513416232587579,0.10634223664647827,0.2832681529639114,0.322959777110552,0.6378073521058184,369690,-0.1281545823053572,0.1281545823053572,0.00020828261516405637
Virginia,952,0.4380252100840336,0.016080127794565916,0.4065081596066844,0.4695422605613828,0.4605739184347081,0.5182386736091495,4503288,-0.022548708350674462,0.022548708350674462,0.00021140109182446248
Washington,864,0.3449074074074074,0.016171329787209806,0.31321160102447615,0.3766032137903386,0.3901193172797912,0.5723012056083173,3924243,-0.045211909872383826,0.045211909872383826,0.00022016985186697153
West Virginia,236,0.5805084745762712,0.032122539839941865,0.5175482964899851,0.6434686526625573,0.6996684955362295,0.2810300242333959,762584,-0.11916002095995826,0.11916002095995826,0.0003094741038364298
Wisconsin,769,0.40052015604681407,0.017669990305837387,0.3658869750473728,0.43515333704625536,0.495958711251628,0.4873704248830968,3422918,-0.09543855520481392,0.09543855520481392,0.00022466211577373458
Wyoming,51,0.6470588235294118,0.06691723046994365,0.5159010518083222,0.7782165952505014,0.7159800481698433,0.2584185721506943,269048,-0.06892122464043149,0.06892122464043149,0.00018955725372424252
