end_date,poll_margin,true_margin,n_polls_combined,n_questions_combined,filtered,filtered_se,smoothed,smoothed_se,total_error,sampling_noise,systematic_bias,weight,sigma2_u
2024-09-06,-1.0525742675141219,1.4723355621959089,16794.0,5.0,-1.0525742675141219,1.0096865282974796,-2.1911021415256573,0.690009389241324,-2.5249098297100305,1.1385278740115354,-3.6634377037215664,0.0,0.4597686075788647
2024-09-07,-3.0,1.4723355621959089,10145.0,1.0,-2.2455247257969044,0.7570258561429788,-2.70456597522887,0.5790289609136587,-4.472335562195909,-0.2954340247711298,-4.176901537424779,0.6125781529855766,0.4597686075788647
2024-09-08,-3.3544692737383177,1.4723355621959089,15903.0,4.0,-2.9540669288749437,0.6106796359526675,-3.0728387395944488,0.5102942682210707,-4.826804835934227,-0.28163053414386896,-4.545174301790357,0.6389338442515813,0.4597686075788647
2024-09-09,-2.951850160972152,1.4723355621959089,11884.0,2.0,-2.952937754657891,0.6391709761211736,-3.2192673079689884,0.5212163381875112,-4.424185723168061,0.2674171469968365,-4.691602870164897,0.509378638887015,0.4597686075788647
2024-09-10,-3.5909484798860354,1.4723355621959089,15150.0,3.0,-3.3230110722106163,0.603864672533159,-3.518993422281783,0.5000105465790262,-5.0632840420819445,-0.07195505760425247,-4.991328984477692,0.5800424709481048,0.4597686075788647
2024-09-11,-4.090374689657471,1.4723355621959089,15099.0,4.0,-3.7581156224286163,0.5974648789445185,-3.76609585992497,0.4883033911418564,-5.56271025185338,-0.32427882973250144,-5.238431422120879,0.5670122225310404,0.4597686075788647
2024-09-12,-3.1979424554180715,1.4723355621959089,21453.0,7.0,-3.392540545658672,0.532657637299452,-3.776374374810793,0.44302153041533837,-4.67027801761398,0.5784319193927216,-5.248709937006702,0.652610832326895,0.4597686075788647
2024-09-13,-4.59644237125664,1.4723355621959089,42795.0,17.0,-4.319172793807258,0.41380329782052894,-4.398368448414711,0.3780746014049378,-6.068777933452549,-0.19807392284192904,-5.87070401061062,0.7696908738287986,0.4597686075788647
2024-09-14,-5.0,1.4723355621959089,10868.0,1.0,-4.6050360937368,0.6050280989802564,-4.611012272019387,0.49678844856890775,-6.472335562195909,-0.3889877279806129,-6.083347834215296,0.4198764346215246,0.4597686075788647
2024-09-15,-5.856466107807245,1.4723355621959089,17144.0,5.0,-5.359901585004949,0.5724390593786587,-4.618518327500765,0.4678146370042259,-7.328801670003154,-1.23794778030648,-6.090853889696674,0.6032023227674131,0.4597686075788647
2024-09-16,-2.580833938734813,1.4723355621959089,34641.0,16.0,-3.2958160588805523,0.4501019840053962,-3.5783022300429814,0.39868880461453454,-4.053169500930722,0.9974682913081683,-5.0506377922388905,0.742725902658276,0.4597686075788647
2024-09-17,-4.929392598245352,1.4723355621959089,23195.0,8.0,-4.307612847557318,0.5021063622621734,-4.219385808629987,0.4425994272400776,-6.401728160441261,-0.710006789615365,-5.691721370825896,0.6193751956490469,0.4597686075788647
2024-09-18,-4.0,1.4723355621959089,10578.0,1.0,-4.172263449804412,0.631389783112551,-4.058488207275991,0.5134748528533256,-5.472335562195909,0.05848820727599069,-5.530823769471899,0.43999917047575915,0.4597686075788647
2024-09-19,-3.8673787244421503,1.4723355621959089,18857.0,5.0,-3.9811886292418066,0.5660731185064687,-3.927270639128013,0.48216147255379166,-5.339714286638059,0.05989191468586297,-5.399606201323922,0.6267116869681556,0.4597686075788647
2024-09-20,-3.2201128212642702,1.4723355621959089,13668.0,2.0,-3.580662515046769,0.607958079851882,-3.8499085932903143,0.5086843193758087,-4.692448383460179,0.6297957720260441,-5.322244155486223,0.5262631002020492,0.4597686075788647
2024-09-21,-5.0,1.4723355621959089,10840.0,1.0,-4.27171076250095,0.6523584870152095,-4.184828862585736,0.520784291934444,-6.472335562195909,-0.8151711374142643,-5.657164424781644,0.4868808544691906,0.4597686075788647
2024-09-22,-3.290420465407375,1.4723355621959089,21346.0,8.0,-3.615407506179109,0.5414886554832513,-4.090965525458381,0.4661642172055666,-4.762756027603284,0.8005450600510065,-5.56330108765429,0.6688166165157307,0.4597686075788647
2024-09-23,-5.698902701357782,1.4723355621959089,13179.0,3.0,-4.674606468972584,0.6084261120853329,-4.836665451038921,0.5024144799323785,-7.171238263553691,-0.8622372503188611,-6.3090010132348295,0.5083760045353222,0.4597686075788647
2024-09-24,-5.354915760539243,1.4723355621959089,15811.0,5.0,-5.068664993960238,0.5909440154759241,-5.037943647520881,0.4878621983838167,-6.827251322735152,-0.3169721130183625,-6.510279209716789,0.579234371590297,0.4597686075788647
2024-09-25,-5.039172855916263,1.4723355621959089,21136.0,7.0,-5.049676616240367,0.5367710536830274,-4.997496594632105,0.46064776258948925,-6.511508418112172,-0.04167626128415769,-6.469832156828014,0.6438454103109571,0.4597686075788647
2024-09-26,-4.928741771651229,1.4723355621959089,16646.0,4.0,-4.9810285365235085,0.568642791313202,-4.914231037155888,0.48611580262796267,-6.401077333847137,-0.014510734495340571,-6.386566599351797,0.5676451642211335,0.4597686075788647
2024-09-27,-4.854262065077408,1.4723355621959089,11851.0,2.0,-4.918256728094278,0.6287597479142525,-4.819253600670183,0.5220709917093194,-6.326597627273316,-0.03500846440722505,-6.291589162866091,0.4951767428181521,0.4597686075788647
2024-09-28,-5.0,1.4723355621959089,11289.0,1.0,-4.959509355915906,0.6508211734517584,-4.704115578117859,0.5297956943623561,-6.472335562195909,-0.2958844218821408,-6.176451140313768,0.5046608345847338,0.4597686075788647
