state_name,n,p_hat,se,ci_lo,ci_hi,p_trump_true,p_harris_true,N_state
Alabama,586,0.5955631399317406,0.02027404763027484,0.5558260065764019,0.6353002732870793,0.6457209205815222,0.3410072005968858,2265090
Alaska,90,0.4444444444444444,0.05237828008789241,0.3417830154721753,0.5471058734167136,0.5454480937497228,0.4140612756041954,338177
Arizona,1109,0.5058611361587015,0.01501323873504767,0.4764351882380081,0.535287084079395,0.5223002024890546,0.4670141701031977,3389319
Arkansas,321,0.5264797507788161,0.027868115234527372,0.4718582449191425,0.5811012566384898,0.6419687217800987,0.3355990989924544,1182676
California,3336,0.3252398081534772,0.008110797406918084,0.30934264523591776,0.34113697107103663,0.383329021034668,0.58467704244594,15865475
Colorado,764,0.3612565445026178,0.017378985231938742,0.32719373344801783,0.39531935555721776,0.4314284416700989,0.5412768636392822,3192745
Connecticut,413,0.3559322033898305,0.023559952374389743,0.3097546967360266,0.4021097100436344,0.4189390623134604,0.5639837181141665,1759010
Delaware,154,0.36363636363636365,0.03876376661011099,0.2876593810805461,0.4396133461921812,0.4179090800974044,0.5649262155570243,512913
District Of Columbia,107,0.06542056074766354,0.023904152648098538,0.018568421557390413,0.11227269993793668,0.0646762963031156,0.9027707452994916,325869
Florida,3138,0.4767367750159337,0.008916059628556839,0.45926129814396227,0.49421225188790513,0.5608834311631108,0.4298829273881028,10893752
Georgia,1381,0.43084721216509775,0.013325368811838347,0.4047294892938946,0.4569649350363009,0.5071729539955493,0.4852529230675474,5250905
Hawaii,138,0.2826086956521739,0.038329333829851826,0.2074832013456643,0.35773418995868345,0.3748028356825321,0.6058513531036325,516701
Idaho,231,0.5930735930735931,0.03232259648610146,0.5297213039608342,0.656425882186352,0.6687379910878541,0.3038173286323403,905057
Illinois,1628,0.37223587223587223,0.011980643880816187,0.3487538102294725,0.395717934242272,0.4347495522170801,0.543705743159883,5633310
Indiana,924,0.48484848484848486,0.016441238393171506,0.4526236575978687,0.517073312099101,0.5858141702339072,0.3962311823874399,2936677
Iowa,476,0.42857142857142855,0.02268240531535556,0.3841139141533316,0.47302894298952547,0.5572682034209675,0.425173098263547,1663506
Kansas,363,0.40771349862258954,0.025792304662230238,0.35716058148461827,0.4582664157605608,0.5715630792917397,0.4104072715166041,1327591
Kentucky,604,0.5099337748344371,0.0203406958455056,0.47006601097724615,0.5498015386916281,0.6447214549801642,0.3393747017396711,2074530
Louisiana,446,0.5246636771300448,0.023646864951644465,0.47831582182482163,0.5710115324352679,0.6021524931800346,0.3821024178178602,2006975
Maine,233,0.47639484978540775,0.032719565151532036,0.4122645020884049,0.5405251974824106,0.4546408058938505,0.52401383250639,831375
