state_name,N_state,n,f_s,DO_s,p_trump_true,p_hat_trump,bias_trump,rho_hat_trump,rho_lb_trump,rho_ub_trump,p_harris_true,p_hat_harris,bias_harris,rho_hat_harris,rho_lb_harris,rho_ub_harris
Wyoming,269048,51,0.00018955725372424252,5274.450980392156,0.7159800481698433,0.6470588235294118,-0.06892122464043149,-0.0021044541620196177,-0.021861874918138423,0.008672320795863367,0.2584185721506943,0.3137254901960784,0.055306918045384124,0.001739600582336332,-0.008128189284222645,0.02332539091543409
District Of Columbia,325869,72,0.000220947681430268,4524.958333333334,0.0646762963031156,0.06944444444444445,0.004768148141328851,0.0002881966354922989,-0.0039091677603511335,0.05653287953979429,0.9027707452994916,0.9166666666666666,0.01389592136717499,0.0006972569289427239,-0.04529841100668418,0.0048786812867269895
Alaska,338177,73,0.00021586329052537576,4631.561643835616,0.5454480937497228,0.4246575342465753,-0.12079055950314749,-0.003564518004885943,-0.01609612174079664,0.01341378383086404,0.4140612756041954,0.5068493150684932,0.09278803946429776,0.0027680240916018476,-0.012352147894156172,0.017479542780447485
North Dakota,368155,65,0.00017655607013350355,5662.923076923077,0.669568524127066,0.4307692307692308,-0.23879929335783523,-0.006746437265286543,-0.01891631243675762,0.009335183497014524,0.3051079029213239,0.5230769230769231,0.2179690201555992,0.006290555900079737,-0.00880537205476531,0.020054490211850216
Vermont,369690,77,0.00020828261516405637,4800.168831168831,0.322959777110552,0.19480519480519481,-0.1281545823053572,-0.003955709856020611,-0.009968704594350083,0.02089800172907454,0.6378073521058184,0.7402597402597403,0.10245238815392188,0.0030766582211571238,-0.01915343574444248,0.010876691191542949
South Dakota,428922,104,0.00024246832757471054,4123.25,0.6343367791812964,0.4807692307692308,-0.1535675484120656,-0.004965683448910428,-0.02051159687047676,0.011823903046381206,0.3423909242239847,0.5,0.1576090757760153,0.005172688991458545,-0.011237181334821603,0.021582559317738698
Delaware,512913,116,0.00022615921218608224,4420.663793103448,0.4179090800974044,0.33620689655172414,-0.08170218354568026,-0.002491458193742542,-0.012743882190932424,0.01775050713404261,0.5649262155570243,0.6293103448275862,0.06438412927056192,0.0019532496775451617,-0.01713841533425984,0.013199024958471394
Rhode Island,513086,121,0.00023582791189001454,4239.380165289256,0.4178753659230616,0.33884297520661155,-0.07903239071645007,-0.0024610620511194012,-0.013012604020301034,0.018127312522893544,0.5557664796934627,0.6446280991735537,0.08886161948009097,0.0027466998547034703,-0.017178661810964446,0.013731194106289632
Hawaii,516701,100,0.00019353552634889423,5166.01,0.3748028356825321,0.24,-0.1348028356825321,-0.003874462599633496,-0.010772470487998212,0.01796922904685477,0.6058513531036325,0.7,0.09414864689636748,0.002680546839235766,-0.017249455867339853,0.011221976570625318
Montana,602963,158,0.0002620392959435322,3815.221518987342,0.583914767572803,0.5126582278481012,-0.0712565397247018,-0.002340447850830608,-0.019178900183954163,0.013666475972015243,0.3846106643359542,0.4430379746835443,0.05842731034759008,0.001944331762900122,-0.012798992912213656,0.020478797068757448
West Virginia,762584,236,0.0003094741038364298,3230.2881355932204,0.6996684955362295,0.5805084745762712,-0.11916002095995826,-0.004573654290531551,-0.02685499541523539,0.011527460828779978,0.2810300242333959,0.3855932203389831,0.10456319610558718,0.004092856147416767,-0.011000194190036597,0.028142222069732572
New Hampshire,826189,179,0.0002166574476300217,4614.581005586592,0.478731864016587,0.3687150837988827,-0.11001678021770434,-0.0032420225932616193,-0.014107479933377114,0.015360957398148247,0.5065281672837572,0.6201117318435754,0.11358356455981822,0.0033443858115944827,-0.014914355104118994,0.014529920786986525
Maine,831375,183,0.0002201172755976545,4542.0327868852455,0.4546408058938505,0.44808743169398907,-0.006553374199861406,-0.0001952829416862486,-0.013547768108135124,0.016251070738939808,0.52401383250639,0.5300546448087432,0.0060408123023532045,0.00017947405184084916,-0.015568582672886199,0.014141668673763798
Idaho,905057,175,0.00019335798739747884,5170.754285714285,0.6687379910878541,0.5771428571428572,-0.09159513394499696,-0.002706335522836633,-0.019759012327426398,0.009787704908248936,0.3038173286323403,0.4057142857142857,0.1018969570819454,0.003081175172570216,-0.009186873060652351,0.021051273993065247
New Mexico,923403,224,0.00024258097493727007,4121.334821428572,0.4585116141056505,0.38392857142857145,-0.07458304267707905,-0.002331585812884,-0.014333810154675048,0.01692779743324582,0.5185189998299767,0.59375,0.07523100017002327,0.0023453408722940937,-0.016164929359092455,0.015010262609558574
Nebraska,952182,211,0.0002215962914652871,4511.710900473933,0.5931807154514578,0.46445497630331756,-0.12872573914814023,-0.0039012203860619493,-0.01797720265622163,0.012329248966265029,0.3885759235104213,0.5023696682464455,0.11379374473602416,0.003475670083381002,-0.01186850573904844,0.01867508953012715
Arkansas,1182676,239,0.00020208408727326842,4947.435146443515,0.6419687217800987,0.49372384937238495,-0.14824487240771372,-0.0043961470069244805,-0.01903734563601585,0.010617285485618362,0.3355990989924544,0.4811715481171548,0.1455724491247004,0.0043829209138429425,-0.01010427672602299,0.020003899238567945
Mississippi,1228008,200,0.0001628653884990977,6139.040000000001,0.6089080852893467,0.57,-0.03890808528934675,-0.0010175935333791902,-0.015925248580207035,0.01022853220370147,0.3800203256004847,0.41,0.029979674399515266,0.0007882873213744953,-0.009992276785378071,0.01630178201157941
Kansas,1327591,304,0.0002289861862576652,4366.075657894737,0.5715630792917397,0.3881578947368421,-0.18340518455489757,-0.0056090647236841885,-0.01748006368083882,0.013102848886745993,0.4104072715166041,0.5888157894736842,0.17840851795708007,0.005488913340734127,-0.012626582932008402,0.018139399564716344
Nevada,1465215,378,0.0002579826168855765,3875.230158730159,0.5126926765014008,0.3941798941798942,-0.11851278232150664,-0.0038087846434652303,-0.016477007414931456,0.015661168475096954,0.4812925065604706,0.5925925925925926,0.11130008603212194,0.0035783345221891334,-0.015473713030187831,0.016676617214448297
Utah,1488494,137,9.203933640310274e-05,10863.919708029196,0.5937665855556018,0.48905109489051096,-0.10471549066509084,-0.002045605863815585,-0.011599166478959299,0.00793572612215546,0.3779430753499846,0.4744525547445255,0.09650947939454091,0.0019096265251789765,-0.007478334006398879,0.012308598190926757
Oklahoma,1566173,346,0.00022092067734535073,4525.5115606936415,0.6616210342024795,0.5289017341040463,-0.13271930009843325,-0.0041695953734301175,-0.020785914340481625,0.010630732449681334,0.3189934956099997,0.43352601156069365,0.11453251595069397,0.003652821226722849,-0.01017375897384771,0.021719552688801713
Iowa,1663506,408,0.0002452651207750378,4076.2205882352937,0.5572682034209675,0.4117647058823529,-0.14550349753861458,-0.00458819751053667,-0.017572475073726473,0.013960770436877335,0.425173098263547,0.5808823529411765,0.15570925467762953,0.004933261710485245,-0.013470555557756963,0.01821196530909038
Connecticut,1759010,301,0.00017111898169993347,5842.887043189369,0.4189390623134604,0.3289036544850498,-0.09003540782841057,-0.0023873347651236954,-0.011108382935692667,0.015407127158663507,0.5639837181141665,0.6411960132890365,0.07721229517487005,0.0020369861695560144,-0.01487880953482184,0.011502820035218233
Louisiana,2006975,320,0.00015944393926182438,6270.796875000001,0.6021524931800346,0.509375,-0.09277749318003459,-0.002393699903962167,-0.015535797699326143,0.010264639690345464,0.3821024178178602,0.471875,0.08977258218213979,0.0023331045993018793,-0.009930480852232615,0.01605857440929744
Kentucky,2074530,429,0.00020679382799959509,4834.734265734266,0.6447214549801642,0.5104895104895105,-0.13423194449065368,-0.00403365755201291,-0.019373820260843826,0.010676087511249615,0.3393747017396711,0.48484848484848486,0.14547378310881376,0.004418563448698589,-0.010308033657158969,0.020065572873672242
Oregon,2244493,675,0.0003007360682345634,3324.1748148148154,0.4096604444745428,0.31555555555555553,-0.09410488891898727,-0.003319000371962504,-0.014448379709154484,0.020820780162228554,0.5527306166693324,0.6518518518518519,0.09912123518251947,0.0034576691236179896,-0.01928103078433918,0.015602202029004203
Alabama,2265090,427,0.00018851348070054612,5303.660421545667,0.6457209205815222,0.5644028103044496,-0.08131811027707259,-0.0023345557014921477,-0.01853795484892593,0.010170972271216081,0.3410072005968858,0.41920374707259955,0.07819654647571378,0.002265049037798387,-0.009877648904024022,0.019088451772837255
South Carolina,2548140,522,0.00020485530622336293,4880.494252873563,0.5822862951015251,0.5574712643678161,-0.024815030733708943,-0.0007202367345375768,-0.01690040138375535,0.012123811492161065,0.4036089068889464,0.42337164750957856,0.019762740620632158,0.000576592942872429,-0.011775595898357633,0.017400162360113373
Indiana,2936677,734,0.00024994236683162634,3999.922343324251,0.5858141702339072,0.45776566757493187,-0.12804850265897538,-0.00411027774800009,-0.018804272587148365,0.013295108995991022,0.3962311823874399,0.5149863760217984,0.11875519363435855,0.0038389916475840406,-0.012808940418902516,0.01951799645094175
Missouri,2995327,815,0.00027209049295786404,3674.2478527607364,0.5849064225708912,0.4822085889570552,-0.102697833613836,-0.003438435292862153,-0.019583303908355686,0.01389778495074668,0.4008240168769553,0.49938650306748467,0.09856248619052937,0.0033179769046763844,-0.01349321513934319,0.020170474088853255
Maryland,3038334,559,0.00018398240614757956,5434.302325581395,0.3408282302077388,0.29695885509839,-0.043869375109348796,-0.0012555166335207171,-0.009754310635440374,0.01886512217825293,0.6261908664419382,0.6797853309481217,0.05359446450618344,0.0015026911179822104,-0.017557250768972996,0.01048092690157427
Tennessee,3063942,763,0.0002490256016595614,4014.6513761467895,0.6419393709149847,0.54521625163827,-0.09672311927671462,-0.003184058831364394,-0.02113220436279325,0.011787110638361112,0.3447405336001791,0.4456094364351245,0.10086890283494543,0.003349504389660269,-0.011447630519755997,0.02175888105637521
Colorado,3192745,611,0.00019137137478877895,5224.441898527005,0.4314284416700989,0.36006546644844517,-0.07136297522165375,-0.001993453201052275,-0.012051521190098767,0.0158824767249349,0.5412768636392822,0.6088379705400983,0.06756110690081607,0.0018758225396426716,-0.01502845923605485,0.012736369164351561
Minnesota,3253920,652,0.0002003737031027192,4989.674846625766,0.4668313910606284,0.3512269938650307,-0.11560439719559767,-0.003280393321023118,-0.013246819450026363,0.015129206035170652,0.5092254880267493,0.6242331288343558,0.1150076408076065,0.0032568256172482804,-0.01442042113650231,0.013897920100464242
Arizona,3389319,861,0.0002540333323596864,3935.4912891986064,0.5223002024890546,0.5005807200929152,-0.02171948239613941,-0.0006931262836530308,-0.016667984609375963,0.015244667405583308,0.4670141701031977,0.48548199767711964,0.018467827573921958,0.0005900563287767083,-0.014921336339901356,0.017029163869983363
Wisconsin,3422918,769,0.00022466211577373458,4450.128738621586,0.495958711251628,0.40052015604681407,-0.09543855520481392,-0.0028614209373423803,-0.014869741451840108,0.015112071780785712,0.4873704248830968,0.5838751625487646,0.0965047376656678,0.0028942159474387337,-0.01461643531837157,0.015373967406368129
Massachusetts,3473668,643,0.00018510692443837466,5401.283048211508,0.3602252719603601,0.3157076205287714,-0.0445176514315887,-0.0012617785696905444,-0.01020998443997004,0.018133347454560578,0.6121822810930694,0.656298600311042,0.044116319217972655,0.0012319599820809369,-0.017095353497633504,0.010829913249893474
Washington,3924243,864,0.00022016985186697153,4540.947916666667,0.3901193172797912,0.3449074074074074,-0.045211909872383826,-0.0013754931317959992,-0.011868696611444522,0.018554551061093476,0.5723012056083173,0.6261574074074074,0.05385620179909012,0.0016154038657009598,-0.017166037503606773,0.012828722834807054
New Jersey,4272725,904,0.00021157458062477693,4725.465707964601,0.4606463088544196,0.41261061946902655,-0.04803568938539304,-0.001401913101832558,-0.013443881080016148,0.01574094211643952,0.5197416168838388,0.5652654867256637,0.04552386984182488,0.0013255180353857665,-0.01513331114674128,0.013983678247863124
Virginia,4503288,952,0.00021140109182446248,4729.344537815126,0.4605739184347081,0.4380252100840336,-0.022548708350674462,-0.0006578176947038708,-0.013436409241436036,0.015736778174604782,0.5182386736091495,0.5378151260504201,0.019576452441270598,0.0005697084226372254,-0.015081636378052252,0.014020082860729746
Georgia,5250905,1011,0.00019253823864648093,5192.773491592483,0.5071729539955493,0.42433234421364985,-0.08284060978189944,-0.0022994199114581017,-0.0140776799210042,0.01367947828331073,0.4852529230675474,0.5509396636993076,0.06568674063176017,0.0018238830973453478,-0.013473717767210912,0.014292663694308622
Illinois,5633310,1218,0.00021621391331206696,4624.049261083744,0.4347495522170801,0.36288998357963875,-0.07185956863744136,-0.002131735662044855,-0.012896975894679964,0.016768324112898234,0.543705743159883,0.6133004926108374,0.06959474945095445,0.002054758511495146,-0.01605270530205554,0.013471914409998995
Michigan,5664186,1159,0.000204618986735252,4886.132010353753,0.4972710995013228,0.39516824849007764,-0.10210285101124517,-0.0029214047761142894,-0.014228105784693232,0.014384266418239072,0.4831290850971348,0.5832614322691976,0.10013234717206276,0.002866613615850369,-0.01383113901417845,0.014797108468370962
North Carolina,5699141,1049,0.00018406282631014043,5431.927550047664,0.5085719058363357,0.44518589132507147,-0.06338601451126424,-0.001720324158545664,-0.013802863971079618,0.013337573423670101,0.4764533813078146,0.5367016205910391,0.06024823928322448,0.0016367392184996464,-0.01294361369312916,0.014222976367792007
Ohio,5767788,1360,0.0002357923002717853,4240.020588235294,0.5513579902728741,0.4198529411764706,-0.13150504909640354,-0.004060613367421347,-0.017024833958241007,0.01385316955054137,0.4392843495634722,0.5698529411764706,0.13056859161299839,0.004040271336227876,-0.013593069696695076,0.01735059972882133
Pennsylvania,7034206,1851,0.0002631427058007684,3799.2193408968124,0.5037253671558666,0.4467855213398163,-0.05693984581605027,-0.0018476136140715374,-0.016345141662607362,0.016103376375893017,0.4866280572391539,0.5359265262020529,0.04929846896289902,0.001600190216133996,-0.015795570784894342,0.016663656647468012
New York,8262600,1732,0.00020961924817853943,4769.554272517321,0.4331444097499576,0.35161662817551964,-0.08152778157443796,-0.002382397110903933,-0.012657304914525417,0.01656460036605325,0.5590486045554668,0.6333718244803695,0.07432321992490276,0.0021675317833641915,-0.01630386331544501,0.012859724935364048
Florida,10893752,2435,0.00022352262104002367,4472.820123203286,0.5608834311631108,0.47433264887063653,-0.08655078229247426,-0.0026076786029576473,-0.016898792633150913,0.013230092789810648,0.4298829273881028,0.5117043121149897,0.08182138472688688,0.0024712631113349604,-0.012983816201509594,0.01721932836251648
Texas,11388674,2257,0.00019817934906205938,5044.934426229508,0.561399597529967,0.4873726185201595,-0.07402697900980754,-0.0021003501505270266,-0.015928459393455184,0.012444306571352863,0.4245665474312461,0.4931324767390341,0.06856592930778799,0.0019530356229143847,-0.01209337640140189,0.016390677452040908
California,15865475,2503,0.00015776394970840773,6337.583699560527,0.383329021034668,0.3148222133439872,-0.0685068076906808,-0.001769942962539107,-0.009903694625222049,0.015932321125660443,0.58467704244594,0.6508190171793847,0.06614197473344474,0.001686026177688952,-0.014904012210556943,0.010587004416686443
