end_date,poll_margin,true_margin,n_polls_combined,n_questions_combined,filtered,filtered_se,smoothed,smoothed_se,total_error,sampling_noise,systematic_bias,weight
2024-05-13,8.0,0.8588286368531206,693.0,1.0,8.0,3.6071537974004806,2.7967124357397806,2.2785325975492805,7.14117136314688,5.203287564260219,1.93788379888666,0.0
2024-07-10,1.0,0.8588286368531206,600.0,1.0,4.110933182433335,2.9657668124331593,0.08538365291893601,1.3034426098269363,0.1411713631468794,0.914616347081064,-0.7734449839341846,0.555580973938095
2024-07-11,1.0,0.8588286368531206,548.0,1.0,3.0690286134784763,2.4346796739012517,0.031883274441341314,1.275135534270955,0.1411713631468794,0.9681167255586587,-0.8269453624117793,0.33491705152596474
2024-07-16,0.0,0.8588286368531206,514.0,1.0,2.275593817978348,2.197400451317731,-0.2675896759668981,1.1490479827829627,-0.8588286368531206,0.2675896759668981,-1.1264183128200187,0.2585296181389587
2024-07-23,-0.8321800517229341,0.8588286368531206,1690.0,2.0,0.7173236165242582,1.6779337353675672,-0.6985755136889393,0.9212885008850107,-1.6910086885760547,-0.13360453803399475,-1.55740415054206,0.5014104200586094
2024-07-24,0.3790145061060848,0.8588286368531206,2615.0,3.0,0.5651516315772046,1.2701886922688979,-0.7573634730629647,0.8938491842716302,-0.4798141307470358,1.1363779791690494,-1.6161921099160854,0.44980161710383315
2024-07-28,-0.4434712084347123,0.8588286368531206,1400.0,2.0,0.32325618696100916,1.2577345202339871,-1.1406555392429452,0.8521045897123,-1.302299845287833,0.6971843308082328,-1.9994841760960658,0.23982745087681873
2024-07-29,-2.0,0.8588286368531206,400.0,1.0,0.16657011765743668,1.2586591870180812,-1.2488344513654286,0.8436954495807145,-2.8588286368531204,-0.7511655486345714,-2.1076630882185494,0.06744244142464953
2024-08-01,-0.7831053644304558,0.8588286368531206,3356.0,4.0,-0.22158089923175717,1.0696156931105227,-1.5621566963605622,0.7959429592800157,-1.6419340012835764,0.7790513319301064,-2.420985333213683,0.4087196355073116
2024-08-02,-4.022406549606808,0.8588286368531206,808.0,2.0,-0.5976576120584866,1.0659300233318203,-1.6991317641257493,0.8004748084309121,-4.881235186459929,-2.323274785481059,-2.55796040097887,0.0989460573624627
2024-08-03,0.0,0.8588286368531206,597.0,1.0,-0.5498286948185421,1.073695436140783,-1.8124559485945944,0.8065146899268878,-0.8588286368531206,1.8124559485945944,-2.671284585447715,0.08002728698662316
2024-08-08,-3.628116645502754,0.8588286368531206,3844.0,6.0,-1.8344862040286631,1.0061217151081419,-2.452616092106897,0.7722857612761935,-4.486945282355874,-1.1755005533958567,-3.3114447289600175,0.4173285702283245
2024-08-11,-9.0,0.8588286368531206,1000.0,2.0,-2.775596392345311,1.08810036153897,-2.666759956204872,0.7804298643575933,-9.85882863685312,-6.3332400437951275,-3.525588593057993,0.1313388286051124
2024-08-14,-1.2000406616983688,0.8588286368531206,3982.0,4.0,-2.1450334490062453,0.9594067710173284,-2.634522308886686,0.7541591425922477,-2.0588692985514894,1.4344816471883173,-3.493350945739807,0.40021621011155784
2024-08-15,-2.28216655575957,0.8588286368531206,1070.0,2.0,-2.1595966008186354,0.9629093198472672,-2.6966868791632432,0.7685366991704937,-3.1409951926126904,0.4145203234036732,-3.5555155160163636,0.10619719889075563
2024-08-20,-3.3148011565468782,0.8588286368531206,1200.0,2.0,-2.352075334826387,1.1224116168392972,-3.03525978220429,0.7855528579580293,-4.173629793399999,-0.2795413743425881,-3.894088419057411,0.1666187456180977
2024-08-21,-3.8718881729487853,0.8588286368531206,1400.0,3.0,-2.615468138799357,1.0668242758277486,-3.098652496461932,0.7805012033286907,-4.730716809801906,-0.7732356764868533,-3.957481133315053,0.17330607912114326
2024-08-23,-5.485979700670909,0.8588286368531206,1000.0,2.0,-3.0059744228037095,1.0887028243604766,-3.1979098666945376,0.776754224343181,-6.34480833752403,-2.2880698339763716,-4.056738503547658,0.13604065881195956
2024-08-26,-5.609916563857524,0.8588286368531206,3734.0,6.0,-3.9855832512937845,0.9788424875781859,-3.2546987617798644,0.7474903736777042,-6.468745200710645,-2.35521780207766,-4.113527398632985,0.3762022254817181
2024-08-28,-1.4612719787633124,0.8588286368531206,1522.0,2.0,-3.583148160214529,1.0009526910512807,-3.076354640199874,0.7575255741265963,-2.320100615616433,1.6150826614365614,-3.935183277052994,0.15942371903914948
2024-08-29,-6.0,0.8588286368531206,976.0,1.0,-3.83554866286477,1.0009811233573498,-3.017224401501802,0.764870640087934,-6.85882863685312,-2.982775598498198,-3.8760530383549225,0.10443358525140069
2024-08-30,1.0999999999999943,0.8588286368531206,1083.0,1.0,-3.269237900147906,0.995229320929879,-2.921751673095332,0.7739269231275456,0.2411713631468737,4.021751673095326,-3.7805803099484523,0.11474119726096615
2024-09-03,-0.19999999999999574,0.8588286368531206,826.0,1.0,-2.9258360421157867,1.1379523002383518,-2.757708959846125,0.7807937788582862,-1.0588286368531163,2.557708959846129,-3.6165375966992457,0.11188505720445133
2024-09-05,-4.247128976987507,0.8588286368531206,3120.0,4.0,-3.368058459514967,1.0085043885488691,-2.7273543092863273,0.7573907701587221,-5.105957613840627,-1.5197746677011796,-3.5861829461394477,0.3346891561500054
2024-09-06,-0.9848310501534657,0.8588286368531206,1863.0,2.0,-2.9415992960387243,0.964915775752714,-2.6537153513281857,0.7633789890395299,-1.8436596870065864,1.66888430117472,-3.5125439881813065,0.1789418675704543
2024-09-08,-3.289999999999999,0.8588286368531206,638.0,1.0,-2.966739138121169,1.039617278675107,-2.581426003158586,0.787179872880955,-4.1488286368531195,-0.7085739968414133,-3.440254640011706,0.07215783951239899
2024-09-09,-3.0,0.8588286368531206,626.0,1.0,-2.9691742799423446,1.0535719519367661,-2.539751299726465,0.7946071946887109,-3.8588286368531204,-0.46024870027353515,-3.3985799365795852,0.07321343115059664
2024-09-14,-2.0214849921011058,0.8588286368531206,1200.0,2.0,-2.801955398070792,1.1813165106175905,-2.3136346369476293,0.7610188058164968,-2.8803136289542266,0.2921496448465235,-3.1724632738007497,0.17644905774176697
2024-09-16,-1.0,0.8588286368531206,2150.0,2.0,-2.320139163875799,1.0925438925095958,-2.2318242741417436,0.7186763297079162,-1.8588286368531206,1.2318242741417436,-3.090652910994864,0.2673852164769644
2024-09-17,-2.057675818051414,0.8588286368531206,2506.0,2.0,-2.2542035531461595,0.9906137576184031,-2.2231753552224434,0.7030414112218994,-2.9165044549045342,0.1654995371710295,-3.082003992075564,0.2512183578340765
2024-09-18,-3.9012578658549613,0.8588286368531206,3200.0,4.0,-2.6919491496708527,0.8979620214432557,-2.2194791717164746,0.6987243787148886,-4.760086502708082,-1.6817786941384867,-3.078307808569595,0.26577484005658675
2024-09-19,0.0,0.8588286368531206,600.0,1.0,-2.5421412909601346,0.9337318518161221,-2.1509833687016364,0.7114696968984678,-0.8588286368531206,2.1509833687016364,-3.009812005554757,0.05565033006995518
2024-09-23,-2.7221594372736613,0.8588286368531206,1188.0,2.0,-2.567324503258222,1.0733438802913147,-1.9411988401809503,0.6901995614831444,-3.5809880741267817,-0.7809605970927109,-2.800027477034071,0.1398926320140369
2024-09-25,-1.066973619138488,0.8588286368531206,6244.0,8.0,-1.860773003215272,0.8562863182743171,-1.8141357499866642,0.638827237174039,-1.9258022559916086,0.7471621308481762,-2.6729643868397845,0.4709241734859167
2024-09-26,-3.3486104578406506,0.8588286368531206,6080.0,8.0,-2.383775464970193,0.7424887672890443,-1.806700413349058,0.6427011809363561,-4.207439094693771,-1.5419100444915925,-2.6655290502021787,0.35151854803023974
2024-09-29,-4.200000000000003,0.8588286368531206,400.0,1.0,-2.4471295559815944,0.9330161932450329,-1.4396045758424778,0.7293591505183337,-5.058828636853123,-2.760395424157525,-2.298433212695598,0.03488230105335622
2024-09-30,1.1000000000000014,0.8588286368531206,1079.0,1.0,-2.082842387110516,0.9412810292782594,-1.3043091412859882,0.7428538887568404,0.2411713631468808,2.4043091412859896,-2.1631377781391086,0.10269914394775169
2024-10-02,-0.03194578896418193,0.8588286368531206,1033.0,2.0,-1.8559442035704603,0.9979564519402497,-1.0988742395064188,0.7655040486988969,-0.8907744258173025,1.066928450542237,-1.9577028763595394,0.1106336534689918
2024-10-06,1.0,0.8588286368531206,700.0,1.0,-1.577918869058687,1.1493631013097434,-0.7434242473063137,0.76046274105144,0.1411713631468794,1.7434242473063137,-1.6022528841594343,0.09734970808049756
2024-10-07,1.324335102785155,0.8588286368531206,2596.0,3.0,-0.7620430008156627,1.0167124714010978,-0.6695803307712063,0.7469521720314894,0.4655064659320345,1.9939154335563614,-1.5284089676243269,0.2811180124683185
2024-10-08,0.6999999999999957,0.8588286368531206,1000.0,1.0,-0.6099442305332238,1.015333857554824,-0.6591240843251867,0.7490965227466855,-0.15882863685312487,1.3591240843251824,-1.5179527211783073,0.10403166678243023
2024-10-09,0.49743510026426235,0.8588286368531206,1600.0,2.0,-0.43288266094590966,0.9819754898946025,-0.6647007573088282,0.7519762417323441,-0.36139353658885826,1.1621358575730905,-1.5235293941619488,0.15989242770117637
2024-10-14,0.09178000703644969,0.8588286368531206,1444.0,2.0,-0.3347242187057139,1.1220551601436164,-0.8052154460088936,0.7210847011252401,-0.7670486298166709,0.8969954530453433,-1.6640440828620142,0.18708867283748903
2024-10-15,-2.2519166612605668,0.8588286368531206,1917.0,3.0,-0.747982893531494,1.038904888022066,-0.8489000896541957,0.7023178689460201,-3.110745298113687,-1.4030165716063712,-1.7077287265073164,0.21555409131233128
2024-10-16,1.0,0.8588286368531206,787.0,1.0,-0.5961810718884801,1.0451489737915487,-0.8598300674149666,0.690161076633645,0.1411713631468794,1.8598300674149666,-1.7186587042680872,0.08684399727523931
2024-10-17,-0.6500774583979235,0.8588286368531206,1864.0,2.0,-0.6063227811242241,0.9908036391707018,-0.8880447654113868,0.6740312799290881,-1.508906095251044,0.23796730701346325,-1.7468734022645074,0.18817048586303795
2024-10-18,-1.974173032026173,0.8588286368531206,1822.0,3.0,-0.8452606319439627,0.9522008425762823,-0.9215915758358143,0.6619221899580385,-2.8330016688792936,-1.0525814561903588,-1.7804202126889348,0.17468129326451123
2024-10-20,0.060862266415014056,0.8588286368531206,3601.0,5.0,-0.5707742235802269,0.8916290545337091,-0.9412740272256815,0.6317810876102228,-0.7979663704381066,1.0021362936406957,-1.800102664078802,0.30292403917927824
2024-10-21,0.0,0.8588286368531206,2216.0,2.0,-0.47152059318685835,0.8679441152837111,-0.9957525396389916,0.6253580492967674,-0.8588286368531206,0.9957525396389916,-1.854581176492112,0.17389297955817315
2024-10-22,0.017757135136886336,0.8588286368531206,1957.0,3.0,-0.39838975276569827,0.8603225028567938,-1.0771003072196124,0.6219499569622886,-0.8410715017162342,1.0948574423564987,-1.935928944072733,0.14946693092224905
2024-10-23,1.3999999999999986,0.8588286368531206,500.0,1.0,-0.3204398216045935,0.9054855610080436,-1.184293626593915,0.6191100872157528,0.541171363146878,2.5842936265939134,-2.0431222634470356,0.04334429232663699
2024-10-24,-2.0526231389079492,0.8588286368531206,3174.0,4.0,-0.7360842116780112,0.8438082503680945,-1.307457368128595,0.6056579566050586,-2.91145177576107,-0.7451657707793542,-2.166286004981716,0.23995404292456085
2024-10-25,-4.004058241449178,0.8588286368531206,3094.0,2.0,-1.420397149361321,0.8095285323137027,-1.4012649584468826,0.6008896138399816,-4.862886878302298,-2.602793283002295,-2.2600935953000034,0.20939974780987702
2024-10-27,-0.4556057052139804,0.8588286368531206,1546.0,2.0,-1.3000918610422303,0.8821909343238326,-1.3944394334286383,0.5894461530880997,-1.314434342067101,0.9388337282146579,-2.253268070281759,0.12469564178755099
2024-10-28,-6.0,0.8588286368531206,736.0,1.0,-1.6029893602937113,0.915132619021292,-1.4086107836459427,0.5702675134528207,-6.85882863685312,-4.591389216354058,-2.2674394204990636,0.06444753605730051
2024-10-29,0.41856185081279174,0.8588286368531206,4177.0,4.0,-1.0158827031019428,0.8229185213231273,-1.3814785212606004,0.5376930406428064,-0.4402667860403289,1.8000403720733922,-2.240307158113721,0.29042383589699594
2024-10-30,-1.3702845186692314,0.8588286368531206,7712.0,8.0,-1.1542750067902736,0.6957032309207728,-1.444587801529346,0.5103587767786083,-2.2291131555223522,0.07430328286011467,-2.3034164383824667,0.3904954704219199
2024-10-31,-1.8095070488848382,0.8588286368531206,7130.0,9.0,-1.356833509136608,0.6443121382975798,-1.514704880917099,0.5063059367971694,-2.6683356857379588,-0.29480216796773906,-2.3735335177702197,0.30914010508219386
2024-11-01,-3.490485568465674,0.8588286368531206,5611.0,4.0,-1.8612458509771108,0.6373839225556491,-1.5591594534254822,0.5207922702095156,-4.3493142053187945,-1.931326115040192,-2.4179880902786026,0.23640796522330695
2024-11-02,-1.2119043571570938,0.8588286368531206,9860.0,10.0,-1.6340594992839026,0.5831966528762762,-1.472236466220441,0.5470212678728394,-2.070732994010214,0.26033210906334725,-2.331065103073562,0.34987191463260964
2024-11-03,-1.234109682729622,0.8588286368531206,2371.0,3.0,-1.5934954556214846,0.6408307934246232,-1.4166183886727166,0.6190276954114566,-2.0929383195827427,0.18250870594309454,-2.275447025525837,0.1014228335241971
2024-11-04,1.0508506619164184,0.8588286368531206,1738.0,2.0,-1.3662694332241418,0.6944270130393885,-1.3662694332241418,0.6944270130393885,0.1920220250632978,2.41712009514056,-2.2250980700772622,0.08592900183917997
