end_date,poll_margin,true_margin,n_polls_combined,n_questions_combined,filtered,filtered_se,smoothed,smoothed_se,total_error,sampling_noise,systematic_bias,weight,sigma2_u
2024-09-06,0.9348601243143132,1.7097309916712655,1967.0,2.0,0.9348601243143132,2.260036622704981,-1.502175464406216,1.070631069976287,-0.7748708673569523,2.437035588720529,-3.2119064560774815,0.0,0.1674136079265158
2024-09-08,-2.9999999999999996,1.7097309916712655,1910.0,1.0,-1.1150313658740947,1.614694381387856,-1.6619294381076433,0.9719464463744503,-4.709730991671265,-1.3380705618923563,-3.371660429778909,0.5209566351600926,0.1674136079265158
2024-09-09,0.0,1.7097309916712655,801.0,1.0,-0.8942112688249929,1.4916974686411153,-1.6970463631302453,0.9443142041070958,-1.7097309916712655,1.6970463631302453,-3.406777354801511,0.1980393590775777,0.1674136079265158
2024-09-14,-3.0,1.7097309916712655,500.0,1.0,-1.1888713185040798,1.6228789036975717,-1.9990593394824978,0.7327136709720805,-4.7097309916712655,-1.0009406605175022,-3.7087903311537636,0.13992859080154244,0.1674136079265158
2024-09-15,-0.9542823218643862,1.7097309916712655,1690.0,2.0,-1.1116277186858836,1.3706966445712137,-2.0505589973766023,0.6551607131498592,-2.664013313535652,1.096276675512216,-3.760289989047868,0.32927204994544207,0.1674136079265158
2024-09-16,-3.2765831454035133,1.7097309916712655,13476.0,12.0,-2.716737256514657,0.7274216745749623,-2.134223621389769,0.57167086321225,-4.986314137074778,-1.1423595240137443,-3.8439546130610345,0.7414053509001524,0.1674136079265158
2024-09-17,-0.5323664451886714,1.7097309916712655,3139.0,2.0,-2.3164846146099305,0.7542696159239837,-1.9499240281067776,0.5881626625258223,-2.242097436859937,1.4175575829181062,-3.659655019778043,0.1832347510914411,0.1674136079265158
2024-09-18,-2.6081352965559703,1.7097309916712655,4236.0,4.0,-2.3875509066669647,0.746266563847814,-1.8420583456067694,0.602333559228332,-4.317866288227236,-0.7660769509492009,-3.551789337278035,0.24366921271311343,0.1674136079265158
2024-09-19,-0.6878834655889154,1.7097309916712655,2336.0,3.0,-2.1291261433093243,0.7837075562063068,-1.6780780665836448,0.6292670752994618,-2.3976144572601807,0.9901946009947293,-3.38780905825491,0.15204431002910151,0.1674136079265158
2024-09-20,0.5131656778300057,1.7097309916712655,1583.0,2.0,-1.8287187003053655,0.832314968804212,-1.555134580595317,0.654381976091424,-1.1965653138412597,2.0683002584253227,-3.2648655722665825,0.11369200048253031,0.1674136079265158
2024-09-22,0.0,1.7097309916712655,700.0,1.0,-1.6961083241906652,0.9762480830099527,-1.422902684302533,0.6674816923725999,-1.7097309916712655,1.422902684302533,-3.1326336759737985,0.07251545909852447,0.1674136079265158
2024-09-23,-1.2611280732765546,1.7097309916712655,1054.0,2.0,-1.647306171160355,0.9973783286190031,-1.3749116590338786,0.647287565553933,-2.9708590649478204,0.11378358575732395,-3.084642650705144,0.11219395116847826,0.1674136079265158
2024-09-24,-1.315232419468691,1.7097309916712655,4792.0,6.0,-1.5255705329680462,0.8579814076679246,-1.3290690575905058,0.6134202342997721,-3.0249634111399564,0.013836638121814682,-3.0388000492617713,0.36659217288978097,0.1674136079265158
2024-09-25,-1.4384455473896909,1.7097309916712655,8732.0,9.0,-1.4865078183190383,0.7060018623119303,-1.2843800389498419,0.6011743926529103,-3.148176539060956,-0.154065508439849,-2.9941110306211076,0.448352609641204,0.1674136079265158
2024-09-28,-0.5,1.7097309916712655,1000.0,1.0,-1.3951906223985084,0.9529168086725754,-1.0807103865734895,0.6696106708517451,-2.2097309916712655,0.5807103865734895,-2.790441378244755,0.09256611475835018,0.1674136079265158
2024-09-29,-0.6075538566254778,1.7097309916712655,5122.0,7.0,-1.106532201927589,0.8254215598878358,-1.022730930438219,0.6562558039900248,-2.3172848482967434,0.41517707381274127,-2.7324619221094846,0.36648672714968306,0.1674136079265158
2024-10-02,-1.0864889128636717,1.7097309916712655,7186.0,3.0,-1.0970257857819552,0.7887998234966775,-0.9609561796586145,0.6535852367770995,-2.7962199045349374,-0.1255327332050572,-2.67068717132988,0.4742942196421977,0.1674136079265158
2024-10-07,-1.169336200319742,1.7097309916712655,5348.0,5.0,-1.1295649822450928,0.8958851214153497,-0.7778983628963794,0.6216856005982719,-2.8790671919910076,-0.3914378374233627,-2.4876293545676447,0.44999322256870405,0.1674136079265158
2024-10-08,0.9197149860100453,1.7097309916712655,3800.0,5.0,-0.5564321579822487,0.8359019986728219,-0.7045454686229167,0.6018382081747334,-0.7900160056612202,1.624260454632962,-2.4142764602941824,0.27967521917019417,0.1674136079265158
2024-10-09,-0.8464246742457985,1.7097309916712655,6071.0,7.0,-0.6600149606318219,0.7461675637630798,-0.7400328634238247,0.5908003161019171,-2.556155665917064,-0.1063918108219738,-2.44976385509509,0.35719129577618314,0.1674136079265158
2024-10-10,-1.608618298574716,1.7097309916712655,5814.0,6.0,-0.9481282285095005,0.7100909501775603,-0.7640933933520548,0.6105397015024009,-3.3183492902459815,-0.8445249052226611,-2.4738243850233204,0.3037236496578965,0.1674136079265158
2024-10-14,0.0,1.7097309916712655,1649.0,1.0,-0.789029199459933,0.9883835640033026,-0.5196812225909954,0.679207097848894,-1.7097309916712655,0.5196812225909954,-2.2294122142622608,0.16780328257885363,0.1674136079265158
2024-10-15,-1.762540237552902,1.7097309916712655,2809.0,3.0,-1.0328469027211542,0.9261315378014088,-0.47352253586185855,0.6609707580924304,-3.4722712292241678,-1.2890177016910433,-2.183253527533124,0.25045191448351817,0.1674136079265158
2024-10-17,0.8202503218723881,1.7097309916712655,7401.0,6.0,-0.1502000956250612,0.7902696366056776,-0.25517960072558554,0.6156421695730644,-0.8894806697988774,1.0754299225979738,-1.964910592396851,0.47630895744808666,0.1674136079265158
2024-10-18,0.0,1.7097309916712655,1256.0,1.0,-0.13609862926189475,0.847106141031412,-0.2833209350081411,0.6302071337206,-1.7097309916712655,0.2833209350081411,-1.9930519266794067,0.09388453652098458,0.1674136079265158
2024-10-19,3.0,1.7097309916712655,1084.0,1.0,0.16748250881504784,0.8940538413857825,-0.3176679271649798,0.6305730376395927,1.2902690083287345,3.3176679271649796,-2.027398918836245,0.0968021653542168,0.1674136079265158
2024-10-20,-1.1758066080308782,1.7097309916712655,6367.0,8.0,-0.35646848475232784,0.7678970480602866,-0.41927871881084006,0.6157474255281292,-2.8855375997021437,-0.7565278892200382,-2.1290097104821055,0.39005079918880364,0.1674136079265158
2024-10-22,-0.10131380854656998,1.7097309916712655,2946.0,3.0,-0.2999580550552269,0.8483753954034492,-0.4549439601583318,0.6379784187788277,-1.8110448002178354,0.3536301516117618,-2.164674951829597,0.22147518727632767,0.1674136079265158
2024-10-23,-1.0,1.7097309916712655,800.0,1.0,-0.34862586768402076,0.9085583679332754,-0.4909940897821562,0.6418951810114416,-2.7097309916712655,-0.5090059102178438,-2.2007250814534216,0.06952128080358579,0.1674136079265158
2024-10-25,-2.0035236302774457,1.7097309916712655,7393.0,2.0,-1.125501354563784,0.7846091393426217,-0.5487409196775802,0.5860300845358131,-3.7132546219487113,-1.4547827105998654,-2.258471911348846,0.4694401699246396,0.1674136079265158
2024-10-26,0.0,1.7097309916712655,600.0,1.0,-1.0719261366596615,0.8635694370808757,-0.39189273689992865,0.5853875947121916,-1.7097309916712655,0.39189273689992865,-2.101623728571194,0.0476012025102243,0.1674136079265158
2024-10-27,0.41806921266462294,1.7097309916712655,1916.0,2.0,-0.8420549243849906,0.8787979255152017,-0.23923231010129498,0.5557044932212035,-1.2916617790066427,0.6573015227659179,-1.9489633017725605,0.15427646292917482,0.1674136079265158
2024-10-28,0.2703650419381518,1.7097309916712655,12022.0,9.0,-0.23969608913319324,0.6564039750661945,-0.10855438025279424,0.5034864412739662,-1.4393659497331137,0.37891942219094604,-1.8182853719240597,0.541485098692323,0.1674136079265158
2024-10-29,2.3981669735970352,1.7097309916712655,2598.0,2.0,0.12841907714801706,0.7174883484492064,-0.05759910056333062,0.5062626230590774,0.6884359819257697,2.455766074160366,-1.7673300922345963,0.13955052158780581,0.1674136079265158
2024-10-30,-0.7622163945188504,1.7097309916712655,7526.0,8.0,-0.1805175871516913,0.6675071916738207,-0.11809367639681934,0.47775861154908716,-2.471947386190116,-0.644122718122031,-1.827824668068085,0.34687217624683014,0.1674136079265158
2024-10-31,-0.5055381403605772,1.7097309916712655,13044.0,11.0,-0.3277749167101818,0.5790132562455208,-0.09463897918787481,0.4490935148010112,-2.2152691320318425,-0.4108991611727024,-1.8043699708591403,0.4530708230745345,0.1674136079265158
2024-11-01,-2.6134397687817223,1.7097309916712655,6865.0,3.0,-0.9265281193438962,0.6090898456675576,0.021779780165161022,0.44987864149359524,-4.323170760452988,-2.6352195489468833,-1.6879512115061046,0.26196019162260525,0.1674136079265158
2024-11-02,0.594467020870197,1.7097309916712655,13903.0,11.0,-0.2596586179055455,0.5498587295506099,0.4497143836585353,0.4281429059921973,-1.1152639708010685,0.1447526372116617,-1.2600166080127302,0.4384428876902809,0.1674136079265158
2024-11-03,0.9064116609215296,1.7097309916712655,2442.0,3.0,-0.1354488184706065,0.6478576899086395,0.842506861957149,0.4270774898039519,-0.8033193307497359,0.06390479896438062,-0.8672241297141166,0.10651999428360268,0.1674136079265158
2024-11-04,0.13009673296374094,1.7097309916712655,4595.0,3.0,-0.07785388450123999,0.678076837018069,1.2325841758779876,0.35032536917891755,-1.5796342587075245,-1.1024874429142466,-0.4771468157932779,0.21689285946711134,0.1674136079265158
